CMDLINE python3 python_programs/Claude/smallest_range_covering_elements_from_k_lists.py
MEM 0.359375 1745203070.2959
MEM 12.109375 1745203070.3481
MEM 12.109375 1745203070.3823
MEM 12.218750 1745203070.4076
MEM 12.218750 1745203070.4348
MEM 12.218750 1745203070.4585
MEM 12.218750 1745203070.4841
MEM 12.218750 1745203070.5465
MEM 12.218750 1745203070.5759
MEM 12.218750 1745203070.6014
MEM 12.218750 1745203070.6415
MEM 12.218750 1745203070.6710
MEM 12.218750 1745203070.7197
MEM 12.218750 1745203070.7709
MEM 12.218750 1745203070.8302
MEM 12.218750 1745203070.8633
MEM 12.218750 1745203070.8916
MEM 12.218750 1745203070.9201
MEM 12.218750 1745203070.9620
MEM 12.218750 1745203070.9985
MEM 12.218750 1745203071.0267
MEM 12.218750 1745203071.0557
MEM 12.218750 1745203071.1161
MEM 12.218750 1745203071.1515
MEM 12.218750 1745203071.1863
MEM 12.218750 1745203071.2226
MEM 12.218750 1745203071.2622
MEM 12.218750 1745203071.2911
MEM 12.218750 1745203071.3382
MEM 12.218750 1745203071.3823
MEM 12.218750 1745203071.4156
MEM 12.218750 1745203071.4480
MEM 12.218750 1745203071.4791
MEM 12.218750 1745203071.5149
MEM 12.218750 1745203071.5508
MEM 12.218750 1745203071.5815
MEM 12.218750 1745203071.6214
MEM 12.218750 1745203071.6515
MEM 12.218750 1745203071.6806
MEM 12.218750 1745203071.7317
MEM 12.218750 1745203071.7611
MEM 12.218750 1745203071.7919
MEM 12.218750 1745203071.8193
MEM 12.218750 1745203071.8475
MEM 12.218750 1745203071.9193
MEM 12.218750 1745203071.9519
MEM 12.218750 1745203071.9786
MEM 12.218750 1745203072.0064
MEM 12.218750 1745203072.0464
MEM 12.218750 1745203072.0818
MEM 12.218750 1745203072.1229
MEM 12.218750 1745203072.1620
MEM 12.218750 1745203072.1973
MEM 12.218750 1745203072.2284
MEM 12.218750 1745203072.2612
MEM 12.218750 1745203072.2903
MEM 12.218750 1745203072.3192
MEM 12.218750 1745203072.3565
MEM 12.218750 1745203072.3860
MEM 12.218750 1745203072.4111
MEM 12.218750 1745203072.4340
MEM 12.218750 1745203072.4618
MEM 12.218750 1745203072.4973
MEM 12.218750 1745203072.5347
MEM 12.218750 1745203072.5627
MEM 12.218750 1745203072.5927
MEM 12.218750 1745203072.6241
MEM 12.218750 1745203072.6536
MEM 12.218750 1745203072.6841
MEM 12.218750 1745203072.7141
MEM 12.218750 1745203072.7477
MEM 12.218750 1745203072.7834
MEM 12.218750 1745203072.8122
MEM 12.218750 1745203072.8397
MEM 12.218750 1745203072.8646
MEM 12.218750 1745203072.8869
MEM 12.218750 1745203072.9017
