CMDLINE python3 python_programs/Claude/split_array_largest_sum.py
MEM 0.203125 1745203075.0905
MEM 6.531250 1745203075.0967
MEM 7.640625 1745203075.1068
MEM 10.437500 1745203075.1193
MEM 10.437500 1745203075.1425
MEM 10.437500 1745203075.1670
MEM 10.437500 1745203075.1919
MEM 10.437500 1745203075.2167
MEM 10.437500 1745203075.2445
MEM 10.437500 1745203075.2669
MEM 10.437500 1745203075.2911
MEM 10.437500 1745203075.3152
MEM 10.437500 1745203075.3400
MEM 10.437500 1745203075.3650
MEM 10.437500 1745203075.3906
MEM 10.437500 1745203075.4155
MEM 10.437500 1745203075.4403
MEM 10.437500 1745203075.4654
MEM 10.437500 1745203075.4904
MEM 10.437500 1745203075.5144
MEM 10.437500 1745203075.5391
MEM 10.437500 1745203075.5647
MEM 10.437500 1745203075.5894
MEM 10.437500 1745203075.6142
MEM 10.437500 1745203075.6401
MEM 10.437500 1745203075.6647
MEM 10.437500 1745203075.6899
MEM 10.437500 1745203075.7146
MEM 10.437500 1745203075.7398
MEM 10.437500 1745203075.7653
MEM 10.437500 1745203075.7904
MEM 10.437500 1745203075.8159
MEM 10.437500 1745203075.8410
MEM 10.437500 1745203075.8657
MEM 10.437500 1745203075.8902
MEM 10.437500 1745203075.9170
MEM 10.437500 1745203075.9421
MEM 10.437500 1745203075.9672
MEM 10.437500 1745203075.9923
MEM 10.437500 1745203076.0169
MEM 10.437500 1745203076.0422
MEM 10.437500 1745203076.0669
MEM 10.437500 1745203076.0929
MEM 10.437500 1745203076.1183
MEM 10.437500 1745203076.1437
MEM 10.437500 1745203076.1763
MEM 10.437500 1745203076.2010
MEM 10.437500 1745203076.2261
MEM 10.437500 1745203076.2515
MEM 10.437500 1745203076.2763
MEM 10.437500 1745203076.3015
MEM 10.437500 1745203076.3272
MEM 10.437500 1745203076.3519
MEM 10.437500 1745203076.3774
MEM 10.437500 1745203076.4022
MEM 10.437500 1745203076.4277
MEM 10.437500 1745203076.4529
MEM 10.437500 1745203076.4782
MEM 10.437500 1745203076.5061
MEM 10.437500 1745203076.5320
MEM 10.437500 1745203076.5568
MEM 10.437500 1745203076.5836
MEM 10.437500 1745203076.6082
MEM 10.437500 1745203076.6336
MEM 10.437500 1745203076.6592
MEM 10.437500 1745203076.6836
MEM 10.437500 1745203076.7091
MEM 10.437500 1745203076.7341
MEM 10.437500 1745203076.7588
MEM 10.437500 1745203076.7834
MEM 10.437500 1745203076.8065
MEM 10.437500 1745203076.8286
MEM 10.437500 1745203076.8502
MEM 10.437500 1745203076.8713
MEM 10.437500 1745203076.8923
MEM 10.437500 1745203076.9136
MEM 10.437500 1745203076.9352
MEM 10.437500 1745203076.9563
MEM 10.437500 1745203076.9775
MEM 10.437500 1745203076.9981
MEM 10.437500 1745203077.0192
MEM 10.437500 1745203077.0403
MEM 10.437500 1745203077.0611
MEM 10.437500 1745203077.0826
MEM 10.437500 1745203077.1040
MEM 10.437500 1745203077.1259
MEM 10.437500 1745203077.1466
MEM 10.437500 1745203077.1680
MEM 10.437500 1745203077.1892
MEM 10.437500 1745203077.2099
MEM 10.437500 1745203077.2305
MEM 10.437500 1745203077.2512
MEM 10.437500 1745203077.2725
MEM 10.437500 1745203077.2931
MEM 10.437500 1745203077.3140
MEM 10.437500 1745203077.3350
MEM 10.437500 1745203077.3555
MEM 10.437500 1745203077.3771
MEM 10.437500 1745203077.3974
MEM 10.437500 1745203077.4202
MEM 10.437500 1745203077.4407
MEM 10.437500 1745203077.4612
MEM 10.437500 1745203077.4823
MEM 10.437500 1745203077.5026
MEM 10.437500 1745203077.5233
MEM 10.437500 1745203077.5435
MEM 10.437500 1745203077.5646
MEM 10.437500 1745203077.5864
MEM 10.437500 1745203077.6065
MEM 10.437500 1745203077.6273
MEM 10.437500 1745203077.6480
MEM 10.437500 1745203077.6690
MEM 10.437500 1745203077.6896
MEM 10.437500 1745203077.7101
MEM 10.437500 1745203077.7304
MEM 10.437500 1745203077.7508
