CMDLINE python3 python_programs/Claude/stamping_the_grid.py
MEM 0.250000 1745203070.2078
MEM 14.203125 1745203070.2538
MEM 14.203125 1745203070.2684
MEM 14.203125 1745203070.2862
MEM 14.203125 1745203070.3052
MEM 14.203125 1745203070.3221
MEM 14.203125 1745203070.3797
MEM 14.203125 1745203070.4423
MEM 14.203125 1745203070.4839
MEM 14.203125 1745203070.5106
MEM 14.203125 1745203070.5356
MEM 14.203125 1745203070.6173
MEM 14.203125 1745203070.6457
MEM 14.203125 1745203070.6837
MEM 14.203125 1745203070.7122
MEM 14.203125 1745203070.7504
MEM 14.203125 1745203070.7840
MEM 14.203125 1745203070.8125
MEM 14.203125 1745203070.8401
MEM 14.203125 1745203070.8694
MEM 14.203125 1745203070.9096
MEM 14.203125 1745203070.9427
MEM 14.203125 1745203070.9786
MEM 14.203125 1745203071.0428
MEM 14.203125 1745203071.0711
MEM 14.203125 1745203071.1041
MEM 14.203125 1745203071.1401
MEM 14.203125 1745203071.1832
MEM 14.203125 1745203071.2206
MEM 14.203125 1745203071.2540
MEM 14.203125 1745203071.2815
MEM 14.203125 1745203071.3142
MEM 14.203125 1745203071.3460
MEM 14.203125 1745203071.3816
MEM 14.203125 1745203071.4175
MEM 14.203125 1745203071.4585
MEM 14.203125 1745203071.5084
MEM 14.203125 1745203071.5510
MEM 14.203125 1745203071.5864
MEM 14.203125 1745203071.6206
MEM 14.203125 1745203071.6635
MEM 14.203125 1745203071.6997
MEM 14.203125 1745203071.7280
MEM 14.203125 1745203071.7593
MEM 14.203125 1745203071.8084
MEM 14.203125 1745203071.8486
MEM 14.203125 1745203071.8800
MEM 14.203125 1745203071.9043
MEM 14.203125 1745203071.9304
MEM 14.203125 1745203071.9582
MEM 14.203125 1745203071.9866
MEM 14.203125 1745203072.0189
MEM 14.203125 1745203072.0547
MEM 14.203125 1745203072.0996
MEM 14.203125 1745203072.1373
MEM 14.203125 1745203072.1685
MEM 14.203125 1745203072.1980
MEM 14.203125 1745203072.2281
MEM 14.203125 1745203072.2567
MEM 14.203125 1745203072.2979
MEM 14.203125 1745203072.3263
MEM 14.203125 1745203072.3547
MEM 14.203125 1745203072.3832
MEM 14.203125 1745203072.4094
MEM 14.203125 1745203072.4593
MEM 14.203125 1745203072.4930
MEM 14.203125 1745203072.5201
MEM 14.203125 1745203072.5474
MEM 14.203125 1745203072.5765
MEM 14.203125 1745203072.6035
MEM 14.203125 1745203072.6321
MEM 14.203125 1745203072.6596
MEM 14.203125 1745203072.6905
MEM 14.203125 1745203072.7173
MEM 14.203125 1745203072.7460
MEM 14.203125 1745203072.7745
MEM 14.203125 1745203072.8047
MEM 14.203125 1745203072.8364
MEM 14.203125 1745203072.8607
