CMDLINE python3 python_programs/Claude/super_washing_machines.py
MEM 6.265625 1745203070.2471
MEM 10.984375 1745203070.2615
MEM 10.984375 1745203070.2771
MEM 10.984375 1745203070.2957
MEM 10.984375 1745203070.3143
MEM 10.984375 1745203070.3371
MEM 10.984375 1745203070.4046
MEM 10.984375 1745203070.4536
MEM 10.984375 1745203070.4926
MEM 10.984375 1745203070.5179
MEM 10.984375 1745203070.5654
MEM 10.984375 1745203070.5934
MEM 10.984375 1745203070.6205
MEM 10.984375 1745203070.6758
MEM 10.984375 1745203070.7081
MEM 10.984375 1745203070.7446
MEM 10.984375 1745203070.7697
MEM 10.984375 1745203070.7958
MEM 10.984375 1745203070.8224
MEM 10.984375 1745203070.8496
MEM 10.984375 1745203070.9259
MEM 10.984375 1745203070.9791
MEM 10.984375 1745203071.0075
MEM 10.984375 1745203071.0422
MEM 10.984375 1745203071.0779
MEM 10.984375 1745203071.1093
MEM 10.984375 1745203071.1474
MEM 10.984375 1745203071.1804
MEM 10.984375 1745203071.2304
MEM 10.984375 1745203071.2798
MEM 10.984375 1745203071.3127
MEM 10.984375 1745203071.3498
MEM 10.984375 1745203071.3847
MEM 10.984375 1745203071.4251
MEM 10.984375 1745203071.4628
MEM 10.984375 1745203071.4980
MEM 10.984375 1745203071.5305
MEM 10.984375 1745203071.5810
MEM 10.984375 1745203071.6213
MEM 10.984375 1745203071.6519
MEM 10.984375 1745203071.6806
MEM 10.984375 1745203071.7250
MEM 10.984375 1745203071.7715
MEM 10.984375 1745203071.8012
MEM 10.984375 1745203071.8302
MEM 10.984375 1745203071.8582
MEM 10.984375 1745203071.8897
MEM 10.984375 1745203071.9182
MEM 10.984375 1745203071.9448
MEM 10.984375 1745203071.9694
MEM 10.984375 1745203072.0060
MEM 10.984375 1745203072.0470
MEM 10.984375 1745203072.0754
MEM 10.984375 1745203072.1034
MEM 10.984375 1745203072.1353
MEM 10.984375 1745203072.1645
MEM 10.984375 1745203072.1962
MEM 10.984375 1745203072.2241
MEM 10.984375 1745203072.2597
MEM 10.984375 1745203072.2891
MEM 10.984375 1745203072.3257
MEM 10.984375 1745203072.3554
MEM 10.984375 1745203072.4050
MEM 10.984375 1745203072.4316
MEM 10.984375 1745203072.4595
MEM 10.984375 1745203072.4880
MEM 10.984375 1745203072.5157
MEM 10.984375 1745203072.5443
MEM 10.984375 1745203072.5741
MEM 10.984375 1745203072.6112
MEM 10.984375 1745203072.6400
MEM 10.984375 1745203072.6692
MEM 10.984375 1745203072.6969
MEM 10.984375 1745203072.7249
MEM 10.984375 1745203072.7541
MEM 10.984375 1745203072.7839
MEM 10.984375 1745203072.8116
MEM 10.984375 1745203072.8461
MEM 10.984375 1745203072.8719
