CMDLINE python3 python_programs/Claude/the_number_of_weak_characters_in_the_game.py
MEM 5.062500 1745203075.1221
MEM 14.609375 1745203075.1440
MEM 28.109375 1745203075.1695
MEM 28.109375 1745203075.1935
MEM 28.109375 1745203075.2185
MEM 28.109375 1745203075.2425
MEM 28.625000 1745203075.2671
MEM 29.281250 1745203075.2915
MEM 29.281250 1745203075.3162
MEM 29.281250 1745203075.3419
MEM 29.281250 1745203075.3667
MEM 29.281250 1745203075.3918
MEM 29.281250 1745203075.4171
MEM 29.281250 1745203075.4417
MEM 29.281250 1745203075.4666
MEM 29.281250 1745203075.4920
MEM 29.281250 1745203075.5164
MEM 29.281250 1745203075.5419
MEM 29.281250 1745203075.5670
MEM 29.281250 1745203075.5916
MEM 29.281250 1745203075.6161
MEM 29.281250 1745203075.6407
MEM 29.281250 1745203075.6657
MEM 29.281250 1745203075.6906
MEM 29.281250 1745203075.7160
MEM 29.281250 1745203075.7408
MEM 29.281250 1745203075.7660
MEM 29.281250 1745203075.7922
MEM 29.281250 1745203075.8174
MEM 29.281250 1745203075.8423
MEM 29.281250 1745203075.8674
MEM 29.281250 1745203075.8917
MEM 29.281250 1745203075.9163
MEM 29.281250 1745203075.9416
MEM 29.281250 1745203075.9661
MEM 29.281250 1745203075.9908
MEM 29.281250 1745203076.0157
MEM 29.281250 1745203076.0399
MEM 29.281250 1745203076.0652
MEM 29.281250 1745203076.0900
MEM 29.281250 1745203076.1147
MEM 29.281250 1745203076.1397
MEM 29.281250 1745203076.1641
MEM 29.281250 1745203076.1893
MEM 29.281250 1745203076.2159
MEM 29.281250 1745203076.2409
MEM 29.281250 1745203076.2653
MEM 29.281250 1745203076.2910
MEM 29.281250 1745203076.3157
MEM 29.281250 1745203076.3405
MEM 29.281250 1745203076.3656
MEM 29.281250 1745203076.3907
MEM 29.281250 1745203076.4165
MEM 29.281250 1745203076.4414
MEM 29.281250 1745203076.4653
MEM 29.281250 1745203076.4900
MEM 29.281250 1745203076.5157
MEM 29.281250 1745203076.5406
MEM 29.281250 1745203076.5652
MEM 29.281250 1745203076.5918
MEM 29.281250 1745203076.6162
MEM 29.281250 1745203076.6409
MEM 29.281250 1745203076.6652
MEM 29.281250 1745203076.6904
MEM 29.281250 1745203076.7148
MEM 29.281250 1745203076.7389
MEM 29.281250 1745203076.7650
MEM 29.281250 1745203076.7872
MEM 29.281250 1745203076.8099
MEM 29.281250 1745203076.8317
MEM 29.281250 1745203076.8528
MEM 29.281250 1745203076.8745
MEM 29.281250 1745203076.8949
MEM 29.281250 1745203076.9160
MEM 29.281250 1745203076.9371
MEM 29.281250 1745203076.9583
MEM 29.281250 1745203076.9797
MEM 29.281250 1745203077.0008
MEM 29.281250 1745203077.0214
MEM 29.281250 1745203077.0427
MEM 29.281250 1745203077.0638
MEM 29.281250 1745203077.0845
MEM 29.281250 1745203077.1058
MEM 29.281250 1745203077.1268
MEM 29.281250 1745203077.1477
MEM 29.281250 1745203077.1691
MEM 29.281250 1745203077.1908
MEM 29.281250 1745203077.2118
MEM 29.281250 1745203077.2327
MEM 29.281250 1745203077.2538
MEM 29.281250 1745203077.2751
MEM 29.281250 1745203077.2957
MEM 29.281250 1745203077.3169
MEM 29.281250 1745203077.3382
MEM 29.281250 1745203077.3588
MEM 29.281250 1745203077.3801
MEM 29.281250 1745203077.4013
MEM 29.281250 1745203077.4218
MEM 29.281250 1745203077.4440
MEM 29.281250 1745203077.4654
MEM 29.281250 1745203077.4871
MEM 29.281250 1745203077.5089
MEM 29.281250 1745203077.5305
MEM 29.281250 1745203077.5520
MEM 29.281250 1745203077.5739
MEM 29.281250 1745203077.5955
MEM 29.281250 1745203077.6174
MEM 29.281250 1745203077.6399
MEM 29.281250 1745203077.6609
MEM 29.281250 1745203077.6820
MEM 29.281250 1745203077.7031
MEM 29.281250 1745203077.7247
MEM 29.281250 1745203077.7462
MEM 29.281250 1745203077.7646
MEM 29.281250 1745203077.7805
MEM 29.281250 1745203077.7947
