CMDLINE python3 python_programs/Claude/wiggle_subsequence.py
MEM 0.218750 1745203070.3022
MEM 10.359375 1745203070.3331
MEM 10.359375 1745203070.3608
MEM 10.359375 1745203070.3940
MEM 12.515625 1745203070.4293
MEM 12.578125 1745203070.4708
MEM 12.578125 1745203070.5005
MEM 12.578125 1745203070.5562
MEM 12.578125 1745203070.6024
MEM 12.578125 1745203070.6348
MEM 12.578125 1745203070.6612
MEM 12.578125 1745203070.7077
MEM 12.578125 1745203070.7472
MEM 12.578125 1745203070.7743
MEM 12.578125 1745203070.8081
MEM 12.578125 1745203070.8419
MEM 12.578125 1745203070.8757
MEM 12.578125 1745203070.9158
MEM 12.578125 1745203070.9456
MEM 12.578125 1745203070.9813
MEM 12.578125 1745203071.0131
MEM 12.578125 1745203071.0411
MEM 12.578125 1745203071.0809
MEM 12.578125 1745203071.1445
MEM 12.578125 1745203071.1851
MEM 12.578125 1745203071.2215
MEM 12.578125 1745203071.2519
MEM 12.578125 1745203071.2816
MEM 12.578125 1745203071.3167
MEM 12.578125 1745203071.3652
MEM 12.578125 1745203071.3970
MEM 12.578125 1745203071.4374
MEM 12.578125 1745203071.4762
MEM 12.578125 1745203071.5123
MEM 12.578125 1745203071.5584
MEM 12.578125 1745203071.5955
MEM 12.578125 1745203071.6311
MEM 12.578125 1745203071.6764
MEM 12.578125 1745203071.7246
MEM 12.578125 1745203071.7532
MEM 12.578125 1745203071.7895
MEM 12.578125 1745203071.8350
MEM 12.578125 1745203071.8651
MEM 12.578125 1745203071.8942
MEM 12.578125 1745203071.9391
MEM 12.578125 1745203071.9878
MEM 12.578125 1745203072.0195
MEM 12.578125 1745203072.0454
MEM 12.578125 1745203072.0740
MEM 12.578125 1745203072.1032
MEM 12.578125 1745203072.1363
MEM 12.578125 1745203072.1694
MEM 12.578125 1745203072.2078
MEM 12.578125 1745203072.2381
MEM 12.578125 1745203072.2716
MEM 12.578125 1745203072.2992
MEM 12.578125 1745203072.3322
MEM 12.578125 1745203072.3674
MEM 12.578125 1745203072.4235
MEM 12.578125 1745203072.4664
MEM 12.578125 1745203072.4916
MEM 12.578125 1745203072.5175
MEM 12.578125 1745203072.5441
MEM 12.578125 1745203072.5723
MEM 12.578125 1745203072.6029
MEM 12.578125 1745203072.6421
MEM 12.578125 1745203072.6743
MEM 12.578125 1745203072.7042
MEM 12.578125 1745203072.7394
MEM 12.578125 1745203072.7704
MEM 12.578125 1745203072.7980
MEM 12.578125 1745203072.8262
MEM 12.578125 1745203072.8589
MEM 12.578125 1745203072.8803
MEM 12.578125 1745203072.8964
MEM 12.578125 1745203072.9098
MEM 12.578125 1745203072.9190
MEM 12.578125 1745203072.9323
