CMDLINE python3 python_programs/Claude/word_abbreviation.py
MEM 2.234375 1745203075.1770
MEM 10.984375 1745203075.2028
MEM 10.984375 1745203075.2281
MEM 10.984375 1745203075.2563
MEM 10.984375 1745203075.2814
MEM 10.984375 1745203075.3073
MEM 10.984375 1745203075.3320
MEM 10.984375 1745203075.3565
MEM 10.984375 1745203075.3809
MEM 10.984375 1745203075.4059
MEM 10.984375 1745203075.4319
MEM 10.984375 1745203075.4566
MEM 10.984375 1745203075.4818
MEM 10.984375 1745203075.5052
MEM 10.984375 1745203075.5292
MEM 10.984375 1745203075.5539
MEM 10.984375 1745203075.5784
MEM 10.984375 1745203075.6029
MEM 10.984375 1745203075.6288
MEM 10.984375 1745203075.6540
MEM 10.984375 1745203075.6788
MEM 10.984375 1745203075.7033
MEM 10.984375 1745203075.7281
MEM 10.984375 1745203075.7525
MEM 10.984375 1745203075.7780
MEM 10.984375 1745203075.8030
MEM 10.984375 1745203075.8279
MEM 10.984375 1745203075.8528
MEM 10.984375 1745203075.8766
MEM 10.984375 1745203075.9007
MEM 10.984375 1745203075.9254
MEM 10.984375 1745203075.9502
MEM 10.984375 1745203075.9749
MEM 10.984375 1745203076.0001
MEM 10.984375 1745203076.0256
MEM 10.984375 1745203076.0520
MEM 10.984375 1745203076.0777
MEM 10.984375 1745203076.1029
MEM 10.984375 1745203076.1287
MEM 10.984375 1745203076.1541
MEM 10.984375 1745203076.1775
MEM 10.984375 1745203076.2030
MEM 10.984375 1745203076.2281
MEM 10.984375 1745203076.2530
MEM 10.984375 1745203076.2781
MEM 10.984375 1745203076.3026
MEM 10.984375 1745203076.3275
MEM 10.984375 1745203076.3520
MEM 10.984375 1745203076.3769
MEM 10.984375 1745203076.4029
MEM 10.984375 1745203076.4289
MEM 10.984375 1745203076.4539
MEM 10.984375 1745203076.4792
MEM 10.984375 1745203076.5040
MEM 10.984375 1745203076.5285
MEM 10.984375 1745203076.5552
MEM 10.984375 1745203076.5798
MEM 10.984375 1745203076.6051
MEM 10.984375 1745203076.6298
MEM 10.984375 1745203076.6545
MEM 10.984375 1745203076.6793
MEM 10.984375 1745203076.7042
MEM 10.984375 1745203076.7310
MEM 10.984375 1745203076.7557
MEM 10.984375 1745203076.7793
MEM 10.984375 1745203076.8021
MEM 10.984375 1745203076.8234
MEM 10.984375 1745203076.8450
MEM 10.984375 1745203076.8658
MEM 10.984375 1745203076.8866
MEM 10.984375 1745203076.9073
MEM 10.984375 1745203076.9281
MEM 10.984375 1745203076.9489
MEM 10.984375 1745203076.9704
MEM 10.984375 1745203076.9914
MEM 10.984375 1745203077.0119
MEM 10.984375 1745203077.0321
MEM 10.984375 1745203077.0530
MEM 10.984375 1745203077.0750
MEM 10.984375 1745203077.0963
MEM 10.984375 1745203077.1175
MEM 10.984375 1745203077.1387
MEM 10.984375 1745203077.1590
MEM 10.984375 1745203077.1806
MEM 10.984375 1745203077.2012
MEM 10.984375 1745203077.2220
MEM 10.984375 1745203077.2427
MEM 10.984375 1745203077.2638
MEM 10.984375 1745203077.2849
MEM 10.984375 1745203077.3052
MEM 10.984375 1745203077.3262
MEM 10.984375 1745203077.3468
MEM 10.984375 1745203077.3687
MEM 10.984375 1745203077.3899
MEM 10.984375 1745203077.4105
MEM 10.984375 1745203077.4306
MEM 10.984375 1745203077.4506
MEM 10.984375 1745203077.4714
MEM 10.984375 1745203077.4917
MEM 10.984375 1745203077.5125
MEM 10.984375 1745203077.5327
MEM 10.984375 1745203077.5533
MEM 10.984375 1745203077.5745
MEM 10.984375 1745203077.5955
MEM 10.984375 1745203077.6164
MEM 10.984375 1745203077.6385
MEM 10.984375 1745203077.6594
MEM 10.984375 1745203077.6801
MEM 10.984375 1745203077.7014
MEM 10.984375 1745203077.7226
MEM 10.984375 1745203077.7431
MEM 10.984375 1745203077.7621
MEM 10.984375 1745203077.7790
MEM 10.984375 1745203077.7920
MEM 10.984375 1745203077.7982
