CMDLINE python3 python_programs/Gemini/average_height_of_buildings_in_each_segment.py
MEM 0.250000 1745203064.9727
MEM 6.687500 1745203064.9855
MEM 8.968750 1745203065.0073
MEM 12.375000 1745203065.0237
MEM 12.375000 1745203065.0446
MEM 12.375000 1745203065.0671
MEM 12.375000 1745203065.0891
MEM 12.375000 1745203065.1119
MEM 14.156250 1745203065.1342
MEM 14.156250 1745203065.1567
MEM 14.156250 1745203065.1778
MEM 14.156250 1745203065.1994
MEM 14.156250 1745203065.2197
MEM 14.156250 1745203065.2408
MEM 14.156250 1745203065.2618
MEM 14.156250 1745203065.2820
MEM 14.156250 1745203065.3026
MEM 14.156250 1745203065.3238
MEM 14.156250 1745203065.3449
MEM 14.156250 1745203065.3661
MEM 14.156250 1745203065.3869
MEM 14.156250 1745203065.4081
MEM 14.156250 1745203065.4292
MEM 14.156250 1745203065.4498
MEM 14.156250 1745203065.4703
MEM 14.156250 1745203065.4907
MEM 14.156250 1745203065.5109
MEM 14.156250 1745203065.5321
MEM 14.156250 1745203065.5531
MEM 14.156250 1745203065.5741
MEM 14.156250 1745203065.5954
MEM 14.156250 1745203065.6177
MEM 14.156250 1745203065.6384
MEM 14.156250 1745203065.6587
MEM 14.156250 1745203065.6797
MEM 14.156250 1745203065.7008
MEM 14.156250 1745203065.7217
MEM 14.156250 1745203065.7422
MEM 14.156250 1745203065.7634
MEM 14.156250 1745203065.7839
MEM 14.156250 1745203065.8051
MEM 14.156250 1745203065.8263
MEM 14.156250 1745203065.8477
MEM 14.156250 1745203065.8683
MEM 14.156250 1745203065.8895
MEM 14.156250 1745203065.9104
MEM 14.156250 1745203065.9317
MEM 14.156250 1745203065.9522
MEM 14.156250 1745203065.9735
MEM 14.156250 1745203065.9942
MEM 14.156250 1745203066.0154
MEM 14.156250 1745203066.0366
MEM 14.156250 1745203066.0576
MEM 14.156250 1745203066.0782
MEM 14.156250 1745203066.0991
MEM 14.156250 1745203066.1205
MEM 14.156250 1745203066.1416
MEM 14.156250 1745203066.1621
MEM 14.156250 1745203066.1825
MEM 14.156250 1745203066.2033
MEM 14.156250 1745203066.2237
MEM 14.156250 1745203066.2442
MEM 14.156250 1745203066.2649
MEM 14.156250 1745203066.2852
MEM 14.156250 1745203066.3089
MEM 14.156250 1745203066.3313
MEM 14.156250 1745203066.3522
MEM 14.156250 1745203066.3725
MEM 14.156250 1745203066.3934
MEM 14.156250 1745203066.4142
MEM 14.156250 1745203066.4359
MEM 14.156250 1745203066.4568
MEM 14.156250 1745203066.4775
MEM 14.156250 1745203066.4981
MEM 14.156250 1745203066.5200
MEM 14.156250 1745203066.5418
MEM 14.156250 1745203066.5626
MEM 14.156250 1745203066.5846
MEM 14.156250 1745203066.6063
MEM 14.156250 1745203066.6276
MEM 14.156250 1745203066.6485
MEM 14.156250 1745203066.6702
MEM 14.156250 1745203066.6908
MEM 14.156250 1745203066.7110
MEM 14.156250 1745203066.7314
MEM 14.156250 1745203066.7523
MEM 14.156250 1745203066.7726
MEM 14.156250 1745203066.7937
MEM 14.156250 1745203066.8143
MEM 14.156250 1745203066.8354
MEM 14.156250 1745203066.8557
MEM 14.156250 1745203066.8761
MEM 14.156250 1745203066.8971
MEM 14.156250 1745203066.9175
MEM 14.156250 1745203066.9391
MEM 14.156250 1745203066.9603
MEM 14.156250 1745203066.9807
MEM 14.156250 1745203067.0018
MEM 14.156250 1745203067.0223
MEM 14.156250 1745203067.0429
MEM 14.156250 1745203067.0638
MEM 14.156250 1745203067.0842
MEM 14.156250 1745203067.1052
MEM 14.156250 1745203067.1258
MEM 14.156250 1745203067.1474
MEM 14.156250 1745203067.1684
MEM 14.156250 1745203067.1895
MEM 14.156250 1745203067.2105
MEM 14.156250 1745203067.2317
MEM 14.156250 1745203067.2527
MEM 14.156250 1745203067.2739
MEM 14.156250 1745203067.2949
MEM 14.156250 1745203067.3157
MEM 14.156250 1745203067.3365
MEM 14.156250 1745203067.3574
MEM 14.156250 1745203067.3782
MEM 14.156250 1745203067.3989
MEM 14.156250 1745203067.4179
MEM 14.156250 1745203067.4380
MEM 14.156250 1745203067.4592
MEM 14.156250 1745203067.4799
MEM 14.156250 1745203067.5004
MEM 14.156250 1745203067.5212
MEM 14.156250 1745203067.5422
MEM 14.156250 1745203067.5621
MEM 14.156250 1745203067.5832
MEM 14.156250 1745203067.6048
MEM 14.156250 1745203067.6265
MEM 14.156250 1745203067.6480
MEM 14.156250 1745203067.6704
MEM 14.156250 1745203067.6916
MEM 14.156250 1745203067.7118
MEM 14.156250 1745203067.7330
MEM 14.156250 1745203067.7540
MEM 14.156250 1745203067.7749
MEM 14.156250 1745203067.7959
MEM 14.156250 1745203067.8173
MEM 14.156250 1745203067.8383
MEM 14.156250 1745203067.8590
MEM 14.156250 1745203067.8798
MEM 14.156250 1745203067.9011
MEM 14.156250 1745203067.9220
MEM 14.156250 1745203067.9429
MEM 14.156250 1745203067.9642
MEM 14.156250 1745203067.9855
MEM 14.156250 1745203068.0067
MEM 14.156250 1745203068.0278
MEM 14.156250 1745203068.0475
MEM 14.156250 1745203068.0663
MEM 14.156250 1745203068.0845
MEM 14.156250 1745203068.1037
MEM 14.156250 1745203068.1208
MEM 14.156250 1745203068.1388
MEM 14.187500 1745203068.1546
