CMDLINE python3 python_programs/Gemini/maximum_running_time_of_n_computers.py
MEM 2.000000 1745203064.9814
MEM 7.281250 1745203064.9999
MEM 10.421875 1745203065.0175
MEM 10.421875 1745203065.0392
MEM 10.421875 1745203065.0634
MEM 10.421875 1745203065.0873
MEM 10.421875 1745203065.1124
MEM 10.421875 1745203065.1343
MEM 10.421875 1745203065.1552
MEM 10.421875 1745203065.1771
MEM 10.421875 1745203065.1980
MEM 10.421875 1745203065.2194
MEM 10.421875 1745203065.2404
MEM 10.421875 1745203065.2616
MEM 10.421875 1745203065.2830
MEM 10.421875 1745203065.3036
MEM 10.421875 1745203065.3247
MEM 10.421875 1745203065.3469
MEM 10.421875 1745203065.3677
MEM 10.421875 1745203065.3886
MEM 10.421875 1745203065.4099
MEM 10.421875 1745203065.4309
MEM 10.421875 1745203065.4524
MEM 10.421875 1745203065.4738
MEM 10.421875 1745203065.4957
MEM 10.421875 1745203065.5176
MEM 10.421875 1745203065.5385
MEM 10.421875 1745203065.5594
MEM 10.421875 1745203065.5801
MEM 10.421875 1745203065.6021
MEM 10.421875 1745203065.6244
MEM 10.421875 1745203065.6451
MEM 10.421875 1745203065.6665
MEM 10.421875 1745203065.6872
MEM 10.421875 1745203065.7078
MEM 10.421875 1745203065.7296
MEM 10.421875 1745203065.7503
MEM 10.421875 1745203065.7720
MEM 10.421875 1745203065.7928
MEM 10.421875 1745203065.8146
MEM 10.421875 1745203065.8360
MEM 10.421875 1745203065.8569
MEM 10.421875 1745203065.8794
MEM 10.421875 1745203065.9003
MEM 10.421875 1745203065.9223
MEM 10.421875 1745203065.9436
MEM 10.421875 1745203065.9646
MEM 10.421875 1745203065.9864
MEM 10.421875 1745203066.0077
MEM 10.421875 1745203066.0295
MEM 10.421875 1745203066.0504
MEM 10.421875 1745203066.0719
MEM 10.421875 1745203066.0935
MEM 10.421875 1745203066.1141
MEM 10.421875 1745203066.1360
MEM 10.421875 1745203066.1571
MEM 10.421875 1745203066.1780
MEM 10.421875 1745203066.1993
MEM 10.421875 1745203066.2214
MEM 10.421875 1745203066.2425
MEM 10.421875 1745203066.2640
MEM 10.421875 1745203066.2848
MEM 10.421875 1745203066.3053
MEM 10.421875 1745203066.3268
MEM 10.421875 1745203066.3485
MEM 10.421875 1745203066.3699
MEM 10.421875 1745203066.3908
MEM 10.421875 1745203066.4121
MEM 10.421875 1745203066.4330
MEM 10.421875 1745203066.4530
MEM 10.421875 1745203066.4740
MEM 10.421875 1745203066.4943
MEM 10.421875 1745203066.5143
MEM 10.421875 1745203066.5350
MEM 10.421875 1745203066.5550
MEM 10.421875 1745203066.5751
MEM 10.421875 1745203066.5955
MEM 10.421875 1745203066.6153
MEM 10.421875 1745203066.6364
MEM 10.421875 1745203066.6564
MEM 10.421875 1745203066.6769
MEM 10.421875 1745203066.6975
MEM 10.421875 1745203066.7179
MEM 10.421875 1745203066.7392
MEM 10.421875 1745203066.7598
MEM 10.421875 1745203066.7805
MEM 10.421875 1745203066.8014
MEM 10.421875 1745203066.8226
MEM 10.421875 1745203066.8442
MEM 10.421875 1745203066.8657
MEM 10.421875 1745203066.8872
MEM 10.421875 1745203066.9087
MEM 10.421875 1745203066.9309
MEM 10.421875 1745203066.9522
MEM 10.421875 1745203066.9741
MEM 10.421875 1745203066.9959
MEM 10.421875 1745203067.0176
MEM 10.421875 1745203067.0394
MEM 10.421875 1745203067.0613
MEM 10.421875 1745203067.0824
MEM 10.421875 1745203067.1034
MEM 10.421875 1745203067.1256
MEM 10.421875 1745203067.1470
MEM 10.421875 1745203067.1681
MEM 10.421875 1745203067.1896
MEM 10.421875 1745203067.2113
MEM 10.421875 1745203067.2326
MEM 10.421875 1745203067.2541
MEM 10.421875 1745203067.2751
MEM 10.421875 1745203067.2965
MEM 10.421875 1745203067.3177
MEM 10.421875 1745203067.3387
MEM 10.421875 1745203067.3604
MEM 10.421875 1745203067.3820
MEM 10.421875 1745203067.4038
MEM 10.421875 1745203067.4248
MEM 10.421875 1745203067.4460
MEM 10.421875 1745203067.4686
MEM 10.421875 1745203067.4897
MEM 10.421875 1745203067.5113
MEM 10.421875 1745203067.5323
MEM 10.421875 1745203067.5541
MEM 10.421875 1745203067.5764
MEM 10.421875 1745203067.5971
MEM 10.421875 1745203067.6174
MEM 10.421875 1745203067.6379
MEM 10.421875 1745203067.6592
MEM 10.421875 1745203067.6797
MEM 10.421875 1745203067.6998
MEM 10.421875 1745203067.7205
MEM 10.421875 1745203067.7409
MEM 10.421875 1745203067.7638
MEM 10.421875 1745203067.7844
MEM 10.421875 1745203067.8054
MEM 10.421875 1745203067.8260
MEM 10.421875 1745203067.8471
MEM 10.421875 1745203067.8682
MEM 10.421875 1745203067.8898
MEM 10.421875 1745203067.9104
MEM 10.421875 1745203067.9312
MEM 10.421875 1745203067.9521
MEM 10.421875 1745203067.9731
MEM 10.421875 1745203067.9945
MEM 10.421875 1745203068.0155
MEM 10.421875 1745203068.0369
