CMDLINE python3 python_programs/Gemini/maximum_strength_of_a_group.py
MEM 0.250000 1745203060.1407
MEM 9.750000 1745203060.2250
MEM 9.750000 1745203060.2562
MEM 12.187500 1745203060.2894
MEM 12.187500 1745203060.3287
MEM 12.187500 1745203060.3591
MEM 12.187500 1745203060.3856
MEM 12.187500 1745203060.4148
MEM 12.187500 1745203060.4453
MEM 12.187500 1745203060.4732
MEM 12.187500 1745203060.5004
MEM 12.187500 1745203060.5407
MEM 12.187500 1745203060.5859
MEM 12.187500 1745203060.6138
MEM 12.187500 1745203060.6396
MEM 12.187500 1745203060.6670
MEM 12.187500 1745203060.7023
MEM 12.187500 1745203060.7399
MEM 12.187500 1745203060.7739
MEM 12.187500 1745203060.8072
MEM 12.187500 1745203060.8342
MEM 12.187500 1745203060.8784
MEM 12.187500 1745203060.9163
MEM 12.187500 1745203060.9551
MEM 12.187500 1745203060.9838
MEM 12.187500 1745203061.0345
MEM 12.187500 1745203061.0670
MEM 12.187500 1745203061.0957
MEM 12.187500 1745203061.1331
MEM 12.187500 1745203061.1786
MEM 12.187500 1745203061.2075
MEM 12.187500 1745203061.2461
MEM 12.187500 1745203061.2788
MEM 12.187500 1745203061.3091
MEM 12.187500 1745203061.3475
MEM 12.187500 1745203061.3871
MEM 12.187500 1745203061.4205
MEM 12.187500 1745203061.4562
MEM 12.187500 1745203061.4876
MEM 12.187500 1745203061.5176
MEM 12.187500 1745203061.5542
MEM 12.187500 1745203061.5876
MEM 12.187500 1745203061.6247
MEM 12.187500 1745203061.6509
MEM 12.187500 1745203061.7163
MEM 12.187500 1745203061.7403
MEM 12.187500 1745203061.7680
