CMDLINE python3 python_programs/Gemini/maximum_total_beauty_of_the_gardens.py
MEM 0.234375 1745203060.2125
MEM 11.031250 1745203060.2345
MEM 11.031250 1745203060.2599
MEM 11.062500 1745203060.2877
MEM 11.062500 1745203060.3128
MEM 11.062500 1745203060.3458
MEM 11.062500 1745203060.4080
MEM 11.062500 1745203060.4371
MEM 11.062500 1745203060.4884
MEM 11.062500 1745203060.5872
MEM 11.062500 1745203060.6159
MEM 11.062500 1745203060.6411
MEM 11.062500 1745203060.6673
MEM 11.062500 1745203060.7075
MEM 11.062500 1745203060.7742
MEM 11.062500 1745203060.8142
MEM 11.062500 1745203060.8462
MEM 11.062500 1745203060.8728
MEM 11.062500 1745203060.9034
MEM 11.062500 1745203060.9399
MEM 11.062500 1745203060.9749
MEM 11.062500 1745203061.0089
MEM 11.062500 1745203061.0633
MEM 11.062500 1745203061.0948
MEM 11.062500 1745203061.1252
MEM 11.062500 1745203061.1655
MEM 11.062500 1745203061.2256
MEM 11.062500 1745203061.2535
MEM 11.062500 1745203061.2790
MEM 11.062500 1745203061.3053
MEM 11.062500 1745203061.3562
MEM 11.062500 1745203061.3877
MEM 11.062500 1745203061.4195
MEM 11.062500 1745203061.4485
MEM 11.062500 1745203061.4851
MEM 11.062500 1745203061.5126
MEM 11.062500 1745203061.5415
MEM 11.062500 1745203061.5773
MEM 11.062500 1745203061.6057
MEM 11.062500 1745203061.6634
MEM 11.062500 1745203061.7053
MEM 11.062500 1745203061.7332
MEM 11.062500 1745203061.7580
MEM 11.062500 1745203061.7847
MEM 11.062500 1745203061.8091
MEM 11.062500 1745203061.8327
MEM 11.062500 1745203061.8728
MEM 11.062500 1745203061.9155
MEM 11.062500 1745203061.9475
MEM 11.062500 1745203061.9888
MEM 11.062500 1745203062.0156
MEM 11.062500 1745203062.0433
MEM 11.062500 1745203062.0698
MEM 11.062500 1745203062.0990
MEM 11.062500 1745203062.1304
MEM 11.062500 1745203062.1602
MEM 11.062500 1745203062.1920
MEM 11.062500 1745203062.2179
MEM 11.062500 1745203062.2516
MEM 11.062500 1745203062.2784
MEM 11.062500 1745203062.3074
MEM 11.062500 1745203062.3451
MEM 11.062500 1745203062.3737
MEM 11.062500 1745203062.4063
MEM 11.062500 1745203062.4331
MEM 11.062500 1745203062.4701
MEM 11.062500 1745203062.4984
MEM 11.062500 1745203062.5394
MEM 11.062500 1745203062.5662
MEM 11.062500 1745203062.5968
MEM 11.062500 1745203062.6263
MEM 11.062500 1745203062.6553
MEM 11.062500 1745203062.6831
MEM 11.062500 1745203062.7119
MEM 11.062500 1745203062.7409
MEM 11.062500 1745203062.7748
MEM 11.062500 1745203062.8035
MEM 11.062500 1745203062.8379
MEM 11.062500 1745203062.8675
MEM 11.062500 1745203062.8946
MEM 11.062500 1745203062.9241
MEM 11.062500 1745203062.9535
MEM 11.062500 1745203062.9825
MEM 11.062500 1745203063.0100
MEM 11.062500 1745203063.0368
MEM 11.062500 1745203063.0621
MEM 11.062500 1745203063.0939
MEM 11.062500 1745203063.1272
MEM 11.062500 1745203063.1637
MEM 11.062500 1745203063.1969
MEM 11.062500 1745203063.2235
MEM 11.062500 1745203063.2521
MEM 11.062500 1745203063.2736
MEM 11.062500 1745203063.2870
MEM 11.062500 1745203063.3070
