CMDLINE python3 python_programs/Gemini/maximum_xor_product.py
MEM 0.234375 1745203065.0529
MEM 10.015625 1745203065.0772
MEM 10.015625 1745203065.0992
MEM 10.015625 1745203065.1210
MEM 10.015625 1745203065.1421
MEM 10.625000 1745203065.1635
MEM 10.625000 1745203065.1844
MEM 10.625000 1745203065.2050
MEM 10.625000 1745203065.2274
MEM 10.625000 1745203065.2482
MEM 10.625000 1745203065.2694
MEM 10.625000 1745203065.2903
MEM 10.625000 1745203065.3105
MEM 10.625000 1745203065.3309
MEM 10.625000 1745203065.3514
MEM 10.625000 1745203065.3727
MEM 10.625000 1745203065.3932
MEM 10.625000 1745203065.4142
MEM 10.625000 1745203065.4357
MEM 10.625000 1745203065.4561
MEM 10.625000 1745203065.4774
MEM 10.625000 1745203065.4986
MEM 10.625000 1745203065.5195
MEM 10.625000 1745203065.5405
MEM 10.625000 1745203065.5613
MEM 10.625000 1745203065.5822
MEM 10.625000 1745203065.6036
MEM 10.625000 1745203065.6229
MEM 10.625000 1745203065.6442
MEM 10.625000 1745203065.6654
MEM 10.625000 1745203065.6868
MEM 10.625000 1745203065.7075
MEM 10.625000 1745203065.7296
MEM 10.625000 1745203065.7502
MEM 10.625000 1745203065.7718
MEM 10.625000 1745203065.7927
MEM 10.625000 1745203065.8141
MEM 10.625000 1745203065.8357
MEM 10.625000 1745203065.8572
MEM 10.625000 1745203065.8796
MEM 10.625000 1745203065.9009
MEM 10.625000 1745203065.9223
MEM 10.625000 1745203065.9439
MEM 10.625000 1745203065.9653
MEM 10.625000 1745203065.9863
MEM 10.625000 1745203066.0070
MEM 10.625000 1745203066.0286
MEM 10.625000 1745203066.0496
MEM 10.625000 1745203066.0710
MEM 10.625000 1745203066.0924
MEM 10.625000 1745203066.1134
MEM 10.625000 1745203066.1358
MEM 10.625000 1745203066.1570
MEM 10.625000 1745203066.1782
MEM 10.625000 1745203066.1994
MEM 10.625000 1745203066.2212
MEM 10.625000 1745203066.2423
MEM 10.625000 1745203066.2637
MEM 10.625000 1745203066.2840
MEM 10.625000 1745203066.3061
MEM 10.625000 1745203066.3281
MEM 10.625000 1745203066.3495
MEM 10.625000 1745203066.3709
MEM 10.625000 1745203066.3922
MEM 10.625000 1745203066.4134
MEM 10.625000 1745203066.4352
MEM 10.625000 1745203066.4561
MEM 10.625000 1745203066.4768
MEM 10.625000 1745203066.4977
MEM 10.625000 1745203066.5186
MEM 10.625000 1745203066.5404
MEM 10.625000 1745203066.5633
MEM 10.625000 1745203066.5844
MEM 10.625000 1745203066.6062
MEM 10.625000 1745203066.6278
MEM 10.625000 1745203066.6506
MEM 10.625000 1745203066.6722
MEM 10.625000 1745203066.6935
MEM 10.625000 1745203066.7146
MEM 10.625000 1745203066.7365
MEM 10.625000 1745203066.7577
MEM 10.625000 1745203066.7792
MEM 10.625000 1745203066.8006
MEM 10.625000 1745203066.8220
MEM 10.625000 1745203066.8444
MEM 10.625000 1745203066.8655
MEM 10.625000 1745203066.8860
MEM 10.625000 1745203066.9075
MEM 10.625000 1745203066.9282
MEM 10.625000 1745203066.9498
MEM 10.625000 1745203066.9705
MEM 10.625000 1745203066.9905
MEM 10.625000 1745203067.0110
MEM 10.625000 1745203067.0312
MEM 10.625000 1745203067.0517
MEM 10.625000 1745203067.0728
MEM 10.625000 1745203067.0931
MEM 10.625000 1745203067.1133
MEM 10.625000 1745203067.1339
MEM 10.625000 1745203067.1547
MEM 10.625000 1745203067.1747
MEM 10.625000 1745203067.1959
MEM 10.625000 1745203067.2160
MEM 10.625000 1745203067.2365
MEM 10.625000 1745203067.2575
MEM 10.625000 1745203067.2775
MEM 10.625000 1745203067.2981
MEM 10.625000 1745203067.3187
MEM 10.625000 1745203067.3397
MEM 10.625000 1745203067.3610
MEM 10.625000 1745203067.3825
MEM 10.625000 1745203067.4038
MEM 10.625000 1745203067.4241
MEM 10.625000 1745203067.4455
MEM 10.625000 1745203067.4665
MEM 10.625000 1745203067.4865
MEM 10.625000 1745203067.5075
MEM 10.625000 1745203067.5280
MEM 10.625000 1745203067.5488
MEM 10.625000 1745203067.5681
MEM 10.625000 1745203067.5888
MEM 10.625000 1745203067.6089
MEM 10.625000 1745203067.6294
MEM 10.625000 1745203067.6506
MEM 10.625000 1745203067.6713
MEM 10.625000 1745203067.6921
MEM 10.625000 1745203067.7122
MEM 10.625000 1745203067.7336
MEM 10.625000 1745203067.7549
MEM 10.625000 1745203067.7759
MEM 10.625000 1745203067.7970
MEM 10.625000 1745203067.8184
MEM 10.625000 1745203067.8395
MEM 10.625000 1745203067.8605
MEM 10.625000 1745203067.8816
MEM 10.625000 1745203067.9020
MEM 10.625000 1745203067.9231
MEM 10.625000 1745203067.9442
MEM 10.625000 1745203067.9651
MEM 10.625000 1745203067.9862
MEM 10.625000 1745203068.0075
MEM 10.625000 1745203068.0288
MEM 10.625000 1745203068.0482
MEM 10.625000 1745203068.0676
MEM 10.625000 1745203068.0858
MEM 10.625000 1745203068.1037
MEM 10.625000 1745203068.1208
MEM 10.625000 1745203068.1385
MEM 10.625000 1745203068.1539
MEM 10.625000 1745203068.1632
