CMDLINE python3 python_programs/Gemini/minimum_operations_to_make_a_subsequence.py
MEM 0.203125 1745203060.1423
MEM 11.625000 1745203060.1687
MEM 11.625000 1745203060.1962
MEM 11.625000 1745203060.2282
MEM 11.625000 1745203060.2795
MEM 11.625000 1745203060.3102
MEM 11.625000 1745203060.3431
MEM 11.625000 1745203060.3956
MEM 11.625000 1745203060.4554
MEM 11.625000 1745203060.4990
MEM 11.625000 1745203060.5316
MEM 11.625000 1745203060.5673
MEM 11.625000 1745203060.6180
MEM 11.625000 1745203060.6671
MEM 11.625000 1745203060.7004
MEM 11.625000 1745203060.7320
MEM 11.625000 1745203060.7623
MEM 11.625000 1745203060.7911
MEM 11.625000 1745203060.8232
MEM 11.625000 1745203060.8644
MEM 11.625000 1745203060.9039
MEM 11.625000 1745203060.9376
MEM 11.625000 1745203060.9788
MEM 11.625000 1745203061.0201
MEM 11.625000 1745203061.0491
MEM 11.625000 1745203061.0775
MEM 11.625000 1745203061.1127
MEM 11.625000 1745203061.1645
MEM 11.625000 1745203061.2031
MEM 11.625000 1745203061.2320
MEM 11.625000 1745203061.2602
MEM 11.625000 1745203061.2862
MEM 11.625000 1745203061.3426
MEM 11.625000 1745203061.3756
MEM 11.625000 1745203061.4034
MEM 11.625000 1745203061.4353
MEM 11.625000 1745203061.4637
MEM 11.625000 1745203061.4988
MEM 11.625000 1745203061.5292
MEM 11.625000 1745203061.5632
MEM 11.625000 1745203061.6026
MEM 11.625000 1745203061.6359
MEM 11.625000 1745203061.6625
MEM 11.625000 1745203061.6930
MEM 11.625000 1745203061.7226
MEM 11.625000 1745203061.7543
MEM 11.625000 1745203061.8115
MEM 11.625000 1745203061.8558
MEM 11.625000 1745203061.8825
MEM 11.625000 1745203061.9216
MEM 11.625000 1745203061.9452
MEM 11.625000 1745203061.9733
MEM 11.625000 1745203062.0054
MEM 11.625000 1745203062.0343
MEM 11.625000 1745203062.0639
MEM 11.625000 1745203062.0937
MEM 11.625000 1745203062.1230
MEM 11.625000 1745203062.1525
MEM 11.625000 1745203062.1784
MEM 11.625000 1745203062.2073
MEM 11.625000 1745203062.2337
MEM 11.625000 1745203062.2630
MEM 11.625000 1745203062.2960
MEM 11.625000 1745203062.3264
MEM 11.625000 1745203062.3527
MEM 11.625000 1745203062.3772
MEM 11.625000 1745203062.4082
MEM 11.625000 1745203062.4376
MEM 11.625000 1745203062.4581
MEM 11.625000 1745203062.4744
MEM 11.625000 1745203062.5060
MEM 11.625000 1745203062.5425
MEM 11.625000 1745203062.5734
MEM 11.625000 1745203062.6041
MEM 11.625000 1745203062.6370
MEM 11.625000 1745203062.6631
MEM 11.625000 1745203062.6940
MEM 11.625000 1745203062.7233
MEM 11.625000 1745203062.7531
MEM 11.625000 1745203062.7860
MEM 11.625000 1745203062.8130
MEM 11.625000 1745203062.8450
MEM 11.625000 1745203062.8767
MEM 11.625000 1745203062.9081
MEM 11.625000 1745203062.9382
MEM 11.625000 1745203062.9655
MEM 11.625000 1745203062.9964
MEM 11.625000 1745203063.0249
MEM 11.625000 1745203063.0551
MEM 11.625000 1745203063.0831
MEM 11.625000 1745203063.1107
MEM 11.625000 1745203063.1350
MEM 11.625000 1745203063.1622
MEM 11.625000 1745203063.1889
MEM 11.625000 1745203063.2283
MEM 11.625000 1745203063.2507
MEM 11.625000 1745203063.2746
