CMDLINE python3 python_programs/Gemini/minimum_operations_to_make_the_array_alternating.py
MEM 0.203125 1745203065.0192
MEM 9.046875 1745203065.0393
MEM 10.046875 1745203065.0644
MEM 10.046875 1745203065.0872
MEM 10.046875 1745203065.1103
MEM 10.046875 1745203065.1324
MEM 10.937500 1745203065.1531
MEM 10.937500 1745203065.1738
MEM 10.937500 1745203065.1949
MEM 10.937500 1745203065.2157
MEM 10.937500 1745203065.2367
MEM 10.937500 1745203065.2572
MEM 10.937500 1745203065.2790
MEM 10.937500 1745203065.2991
MEM 10.937500 1745203065.3202
MEM 10.937500 1745203065.3422
MEM 10.937500 1745203065.3638
MEM 10.937500 1745203065.3849
MEM 10.937500 1745203065.4055
MEM 10.937500 1745203065.4272
MEM 10.937500 1745203065.4476
MEM 10.937500 1745203065.4685
MEM 10.937500 1745203065.4890
MEM 10.937500 1745203065.5109
MEM 10.937500 1745203065.5321
MEM 10.937500 1745203065.5532
MEM 10.937500 1745203065.5742
MEM 10.937500 1745203065.5955
MEM 10.937500 1745203065.6149
MEM 10.937500 1745203065.6358
MEM 10.937500 1745203065.6568
MEM 10.937500 1745203065.6776
MEM 10.937500 1745203065.6987
MEM 10.937500 1745203065.7198
MEM 10.937500 1745203065.7404
MEM 10.937500 1745203065.7613
MEM 10.937500 1745203065.7817
MEM 10.937500 1745203065.8021
MEM 10.937500 1745203065.8230
MEM 10.937500 1745203065.8436
MEM 10.937500 1745203065.8640
MEM 10.937500 1745203065.8844
MEM 10.937500 1745203065.9052
MEM 10.937500 1745203065.9257
MEM 10.937500 1745203065.9459
MEM 10.937500 1745203065.9662
MEM 10.937500 1745203065.9870
MEM 10.937500 1745203066.0078
MEM 10.937500 1745203066.0293
MEM 10.937500 1745203066.0502
MEM 10.937500 1745203066.0712
MEM 10.937500 1745203066.0924
MEM 10.937500 1745203066.1132
MEM 10.937500 1745203066.1354
MEM 10.937500 1745203066.1572
MEM 10.937500 1745203066.1780
MEM 10.937500 1745203066.1997
MEM 10.937500 1745203066.2209
MEM 10.937500 1745203066.2424
MEM 10.937500 1745203066.2637
MEM 10.937500 1745203066.2847
MEM 10.937500 1745203066.3055
MEM 10.937500 1745203066.3270
MEM 10.937500 1745203066.3482
MEM 10.937500 1745203066.3693
MEM 10.937500 1745203066.3911
MEM 10.937500 1745203066.4131
MEM 10.937500 1745203066.4345
MEM 10.937500 1745203066.4555
MEM 10.937500 1745203066.4759
MEM 10.937500 1745203066.4968
MEM 10.937500 1745203066.5177
MEM 10.937500 1745203066.5387
MEM 10.937500 1745203066.5589
MEM 10.937500 1745203066.5793
MEM 10.937500 1745203066.6001
MEM 10.937500 1745203066.6202
MEM 10.937500 1745203066.6411
MEM 10.937500 1745203066.6622
MEM 10.937500 1745203066.6824
MEM 10.937500 1745203066.7031
MEM 10.937500 1745203066.7233
MEM 10.937500 1745203066.7437
MEM 10.937500 1745203066.7644
MEM 10.937500 1745203066.7846
MEM 10.937500 1745203066.8053
MEM 10.937500 1745203066.8257
MEM 10.937500 1745203066.8471
MEM 10.937500 1745203066.8680
MEM 10.937500 1745203066.8887
MEM 10.937500 1745203066.9096
MEM 10.937500 1745203066.9316
MEM 10.937500 1745203066.9526
MEM 10.937500 1745203066.9741
MEM 10.937500 1745203066.9954
MEM 10.937500 1745203067.0169
MEM 10.937500 1745203067.0384
MEM 10.937500 1745203067.0593
MEM 10.937500 1745203067.0806
MEM 10.937500 1745203067.1021
MEM 10.937500 1745203067.1228
MEM 10.937500 1745203067.1437
MEM 10.937500 1745203067.1649
MEM 10.937500 1745203067.1859
MEM 10.937500 1745203067.2076
MEM 10.937500 1745203067.2284
MEM 10.937500 1745203067.2494
MEM 10.937500 1745203067.2705
MEM 10.937500 1745203067.2908
MEM 10.937500 1745203067.3115
MEM 10.937500 1745203067.3326
MEM 10.937500 1745203067.3533
MEM 10.937500 1745203067.3733
MEM 10.937500 1745203067.3944
MEM 10.937500 1745203067.4139
MEM 10.937500 1745203067.4349
MEM 10.937500 1745203067.4560
MEM 10.937500 1745203067.4769
MEM 10.937500 1745203067.4977
MEM 10.937500 1745203067.5187
MEM 10.937500 1745203067.5398
MEM 10.937500 1745203067.5613
MEM 10.937500 1745203067.5823
MEM 10.937500 1745203067.6040
MEM 10.937500 1745203067.6260
MEM 10.937500 1745203067.6477
MEM 10.937500 1745203067.6693
MEM 10.937500 1745203067.6905
MEM 10.937500 1745203067.7107
MEM 10.937500 1745203067.7326
MEM 10.937500 1745203067.7537
MEM 10.937500 1745203067.7743
MEM 10.937500 1745203067.7955
MEM 10.937500 1745203067.8162
MEM 10.937500 1745203067.8366
MEM 10.937500 1745203067.8584
MEM 10.937500 1745203067.8794
MEM 10.937500 1745203067.9005
MEM 10.937500 1745203067.9215
MEM 10.937500 1745203067.9422
MEM 10.937500 1745203067.9636
MEM 10.937500 1745203067.9847
MEM 10.937500 1745203068.0056
MEM 10.937500 1745203068.0263
MEM 10.937500 1745203068.0462
MEM 10.937500 1745203068.0645
MEM 10.937500 1745203068.0813
MEM 10.937500 1745203068.0984
MEM 10.937500 1745203068.1156
MEM 10.937500 1745203068.1333
MEM 10.937500 1745203068.1486
MEM 10.937500 1745203068.1603
MEM 10.953125 1745203068.1674
