CMDLINE python3 python_programs/Gemini/minimum_replacements_to_sort_the_array.py
MEM 0.203125 1745203060.0792
MEM 6.328125 1745203060.1246
MEM 10.375000 1745203060.1523
MEM 10.375000 1745203060.1854
MEM 10.375000 1745203060.2195
MEM 10.375000 1745203060.2475
MEM 10.375000 1745203060.2734
MEM 10.375000 1745203060.2985
MEM 10.375000 1745203060.3237
MEM 10.375000 1745203060.3566
MEM 10.375000 1745203060.3838
MEM 10.375000 1745203060.4113
MEM 10.375000 1745203060.4400
MEM 10.375000 1745203060.4692
MEM 10.375000 1745203060.4989
MEM 10.375000 1745203060.5282
MEM 10.375000 1745203060.5578
MEM 10.375000 1745203060.5858
MEM 10.375000 1745203060.6220
MEM 10.375000 1745203060.6498
MEM 10.375000 1745203060.6762
MEM 10.375000 1745203060.7059
MEM 10.375000 1745203060.7715
MEM 10.375000 1745203060.8032
MEM 10.375000 1745203060.8449
MEM 10.375000 1745203060.8720
MEM 10.375000 1745203060.9362
MEM 10.375000 1745203060.9642
MEM 10.375000 1745203060.9911
MEM 10.375000 1745203061.0182
MEM 10.375000 1745203061.0458
MEM 10.375000 1745203061.0737
MEM 10.375000 1745203061.1362
MEM 10.375000 1745203061.1640
MEM 10.375000 1745203061.1917
MEM 10.375000 1745203061.2231
MEM 10.375000 1745203061.2513
MEM 10.375000 1745203061.2835
MEM 10.375000 1745203061.3117
MEM 10.375000 1745203061.3400
MEM 10.375000 1745203061.3718
MEM 10.375000 1745203061.4062
MEM 10.375000 1745203061.4367
MEM 10.375000 1745203061.4635
MEM 10.375000 1745203061.4983
MEM 10.375000 1745203061.5317
MEM 10.375000 1745203061.5638
MEM 10.375000 1745203061.5941
MEM 10.375000 1745203061.6265
MEM 10.375000 1745203061.6561
MEM 10.375000 1745203061.6814
MEM 10.375000 1745203061.7066
MEM 10.375000 1745203061.7703
MEM 10.375000 1745203061.8012
MEM 10.375000 1745203061.8302
MEM 10.375000 1745203061.8592
MEM 10.375000 1745203061.8945
MEM 10.375000 1745203061.9174
MEM 10.375000 1745203061.9631
MEM 10.375000 1745203061.9835
MEM 10.375000 1745203062.0111
MEM 10.375000 1745203062.0423
MEM 10.375000 1745203062.0698
MEM 10.375000 1745203062.0984
MEM 10.375000 1745203062.1298
MEM 10.375000 1745203062.1594
MEM 10.375000 1745203062.1901
MEM 10.375000 1745203062.2179
MEM 10.375000 1745203062.2518
MEM 10.375000 1745203062.2792
MEM 10.375000 1745203062.3102
MEM 10.375000 1745203062.3381
MEM 10.375000 1745203062.3633
MEM 10.375000 1745203062.3978
MEM 10.375000 1745203062.4301
MEM 10.375000 1745203062.4570
MEM 10.375000 1745203062.4868
MEM 10.375000 1745203062.5179
MEM 10.375000 1745203062.5431
MEM 10.375000 1745203062.5758
MEM 10.375000 1745203062.6028
MEM 10.375000 1745203062.6338
MEM 10.375000 1745203062.6652
MEM 10.375000 1745203062.6935
MEM 10.375000 1745203062.7204
MEM 10.375000 1745203062.7483
MEM 10.375000 1745203062.7803
MEM 10.375000 1745203062.8132
MEM 10.375000 1745203062.8425
MEM 10.375000 1745203062.8717
MEM 10.375000 1745203062.9007
MEM 10.375000 1745203062.9308
MEM 10.375000 1745203062.9603
MEM 10.375000 1745203062.9876
MEM 10.375000 1745203063.0287
MEM 10.375000 1745203063.0567
MEM 10.375000 1745203063.0862
MEM 10.375000 1745203063.1123
MEM 10.375000 1745203063.1370
MEM 10.375000 1745203063.1641
MEM 10.375000 1745203063.1927
MEM 10.375000 1745203063.2313
