CMDLINE python3 python_programs/Gemini/most_profit_assigning_work.py
MEM 0.203125 1745203060.1974
MEM 11.546875 1745203060.2363
MEM 11.546875 1745203060.2748
MEM 11.546875 1745203060.3116
MEM 11.546875 1745203060.3433
MEM 11.546875 1745203060.3699
MEM 11.546875 1745203060.4010
MEM 11.546875 1745203060.4288
MEM 11.546875 1745203060.4585
MEM 11.546875 1745203060.4922
MEM 11.546875 1745203060.5217
MEM 11.546875 1745203060.5498
MEM 11.546875 1745203060.5811
MEM 11.546875 1745203060.6174
MEM 11.546875 1745203060.6576
MEM 11.546875 1745203060.6940
MEM 11.546875 1745203060.7248
MEM 11.546875 1745203060.7538
MEM 11.546875 1745203060.8216
MEM 11.546875 1745203060.8573
MEM 11.546875 1745203060.8895
MEM 11.546875 1745203060.9151
MEM 11.546875 1745203060.9424
MEM 11.546875 1745203060.9762
MEM 11.546875 1745203061.0135
MEM 11.546875 1745203061.0592
MEM 11.546875 1745203061.0992
MEM 11.546875 1745203061.1293
MEM 11.546875 1745203061.1692
MEM 11.546875 1745203061.2276
MEM 11.546875 1745203061.2651
MEM 11.546875 1745203061.3008
MEM 11.546875 1745203061.3307
MEM 11.546875 1745203061.3698
MEM 11.546875 1745203061.4303
MEM 11.546875 1745203061.4772
MEM 11.546875 1745203061.5130
MEM 11.546875 1745203061.5564
MEM 11.546875 1745203061.5965
MEM 11.546875 1745203061.6606
MEM 11.546875 1745203061.7126
MEM 11.546875 1745203061.7354
MEM 11.546875 1745203061.7636
MEM 11.546875 1745203061.7893
MEM 11.546875 1745203061.8154
MEM 11.546875 1745203061.8387
MEM 11.546875 1745203061.8624
MEM 11.546875 1745203061.8912
MEM 11.546875 1745203061.9098
MEM 11.546875 1745203061.9304
MEM 11.546875 1745203061.9539
MEM 11.546875 1745203061.9834
MEM 11.546875 1745203062.0101
MEM 11.546875 1745203062.0375
MEM 11.546875 1745203062.0647
MEM 11.546875 1745203062.0915
MEM 11.546875 1745203062.1210
MEM 11.546875 1745203062.1494
MEM 11.546875 1745203062.1789
MEM 11.546875 1745203062.2076
MEM 11.546875 1745203062.2372
MEM 11.546875 1745203062.2671
MEM 11.546875 1745203062.2958
MEM 11.546875 1745203062.3243
MEM 11.546875 1745203062.3521
MEM 11.546875 1745203062.3737
MEM 11.546875 1745203062.4117
MEM 11.546875 1745203062.4390
MEM 11.546875 1745203062.4727
MEM 11.546875 1745203062.5048
MEM 11.546875 1745203062.5250
MEM 11.546875 1745203062.5556
MEM 11.546875 1745203062.5843
MEM 11.546875 1745203062.6147
MEM 11.546875 1745203062.6473
MEM 11.546875 1745203062.6802
MEM 11.546875 1745203062.7146
MEM 11.546875 1745203062.7431
MEM 11.546875 1745203062.7696
MEM 11.546875 1745203062.7975
MEM 11.546875 1745203062.8239
MEM 11.546875 1745203062.8514
MEM 11.546875 1745203062.8776
MEM 11.546875 1745203062.9091
MEM 11.546875 1745203062.9430
MEM 11.546875 1745203062.9725
MEM 11.546875 1745203063.0027
MEM 11.546875 1745203063.0337
MEM 11.546875 1745203063.0631
MEM 11.546875 1745203063.0899
MEM 11.546875 1745203063.1173
MEM 11.546875 1745203063.1393
MEM 11.546875 1745203063.1671
MEM 11.546875 1745203063.1949
MEM 11.546875 1745203063.2242
MEM 11.546875 1745203063.2463
MEM 11.546875 1745203063.2680
MEM 11.546875 1745203063.2859
MEM 11.546875 1745203063.2948
MEM 11.546875 1745203063.3084
MEM 11.546875 1745203063.3188
MEM 11.546875 1745203063.3280
MEM 11.546875 1745203063.3372
