CMDLINE python3 python_programs/Gemini/smallest_range_covering_elements_from_k_lists.py
MEM 0.250000 1745203060.2114
MEM 12.171875 1745203060.2342
MEM 12.171875 1745203060.2608
MEM 12.171875 1745203060.2855
MEM 12.171875 1745203060.3113
MEM 12.171875 1745203060.3603
MEM 12.171875 1745203060.4454
MEM 12.171875 1745203060.4820
MEM 12.171875 1745203060.5138
MEM 12.171875 1745203060.5426
MEM 12.171875 1745203060.5772
MEM 12.171875 1745203060.6206
MEM 12.171875 1745203060.6555
MEM 12.171875 1745203060.6894
MEM 12.171875 1745203060.7332
MEM 12.171875 1745203060.7905
MEM 12.171875 1745203060.8233
MEM 12.171875 1745203060.8506
MEM 12.171875 1745203060.8775
MEM 12.171875 1745203060.9047
MEM 12.171875 1745203060.9645
MEM 12.171875 1745203060.9924
MEM 12.171875 1745203061.0277
MEM 12.171875 1745203061.0713
MEM 12.171875 1745203061.1001
MEM 12.171875 1745203061.1318
MEM 12.171875 1745203061.1591
MEM 12.171875 1745203061.1861
MEM 12.171875 1745203061.2140
MEM 12.171875 1745203061.2644
MEM 12.171875 1745203061.2966
MEM 12.171875 1745203061.3255
MEM 12.171875 1745203061.3564
MEM 12.171875 1745203061.3905
MEM 12.171875 1745203061.4251
MEM 12.171875 1745203061.4597
MEM 12.171875 1745203061.5092
MEM 12.171875 1745203061.5453
MEM 12.171875 1745203061.5785
MEM 12.171875 1745203061.6116
MEM 12.171875 1745203061.6393
MEM 12.171875 1745203061.6647
MEM 12.171875 1745203061.6904
MEM 12.171875 1745203061.7120
MEM 12.171875 1745203061.7755
MEM 12.171875 1745203061.8025
MEM 12.171875 1745203061.8273
MEM 12.171875 1745203061.8495
MEM 12.171875 1745203061.8805
MEM 12.171875 1745203061.9061
MEM 12.171875 1745203061.9301
MEM 12.171875 1745203061.9599
MEM 12.171875 1745203061.9852
MEM 12.171875 1745203062.0155
MEM 12.171875 1745203062.0435
MEM 12.171875 1745203062.0706
MEM 12.171875 1745203062.1014
MEM 12.171875 1745203062.1303
MEM 12.171875 1745203062.1607
MEM 12.171875 1745203062.1934
MEM 12.171875 1745203062.2257
MEM 12.171875 1745203062.2530
MEM 12.171875 1745203062.2799
MEM 12.171875 1745203062.3092
MEM 12.171875 1745203062.3364
MEM 12.171875 1745203062.3649
MEM 12.171875 1745203062.3958
MEM 12.171875 1745203062.4295
MEM 12.171875 1745203062.4638
MEM 12.171875 1745203062.4873
MEM 12.171875 1745203062.5186
MEM 12.171875 1745203062.5478
MEM 12.171875 1745203062.5793
MEM 12.171875 1745203062.6081
MEM 12.171875 1745203062.6416
MEM 12.171875 1745203062.6705
MEM 12.171875 1745203062.7015
MEM 12.171875 1745203062.7325
MEM 12.171875 1745203062.7618
MEM 12.171875 1745203062.7937
MEM 12.171875 1745203062.8210
MEM 12.171875 1745203062.8490
MEM 12.171875 1745203062.8790
MEM 12.171875 1745203062.9112
MEM 12.171875 1745203062.9401
MEM 12.171875 1745203062.9706
MEM 12.171875 1745203062.9986
MEM 12.171875 1745203063.0274
MEM 12.171875 1745203063.0659
MEM 12.171875 1745203063.0967
MEM 12.171875 1745203063.1248
MEM 12.171875 1745203063.1501
MEM 12.171875 1745203063.1794
MEM 12.171875 1745203063.2063
MEM 12.171875 1745203063.2326
MEM 12.171875 1745203063.2572
MEM 12.171875 1745203063.2790
