CMDLINE python3 python_programs/Gemini/split_array_largest_sum.py
MEM 0.187500 1745203064.9970
MEM 10.593750 1745203065.0139
MEM 10.625000 1745203065.0353
MEM 10.625000 1745203065.0584
MEM 10.625000 1745203065.0807
MEM 10.625000 1745203065.1030
MEM 10.625000 1745203065.1248
MEM 10.656250 1745203065.1460
MEM 10.656250 1745203065.1674
MEM 10.656250 1745203065.1881
MEM 10.656250 1745203065.2097
MEM 10.656250 1745203065.2310
MEM 10.656250 1745203065.2516
MEM 10.656250 1745203065.2717
MEM 10.656250 1745203065.2963
MEM 10.656250 1745203065.3175
MEM 10.656250 1745203065.3387
MEM 10.656250 1745203065.3598
MEM 10.656250 1745203065.3806
MEM 10.656250 1745203065.4019
MEM 10.656250 1745203065.4228
MEM 10.656250 1745203065.4437
MEM 10.656250 1745203065.4642
MEM 10.656250 1745203065.4849
MEM 10.656250 1745203065.5054
MEM 10.656250 1745203065.5253
MEM 10.656250 1745203065.5458
MEM 10.656250 1745203065.5659
MEM 10.656250 1745203065.5867
MEM 10.656250 1745203065.6098
MEM 10.656250 1745203065.6303
MEM 10.656250 1745203065.6507
MEM 10.656250 1745203065.6711
MEM 10.656250 1745203065.6913
MEM 10.656250 1745203065.7115
MEM 10.656250 1745203065.7319
MEM 10.656250 1745203065.7520
MEM 10.656250 1745203065.7732
MEM 10.656250 1745203065.7949
MEM 10.656250 1745203065.8162
MEM 10.656250 1745203065.8372
MEM 10.656250 1745203065.8580
MEM 10.656250 1745203065.8799
MEM 10.656250 1745203065.9014
MEM 10.656250 1745203065.9226
MEM 10.656250 1745203065.9436
MEM 10.656250 1745203065.9648
MEM 10.656250 1745203065.9855
MEM 10.656250 1745203066.0064
MEM 10.656250 1745203066.0271
MEM 10.656250 1745203066.0473
MEM 10.656250 1745203066.0673
MEM 10.656250 1745203066.0878
MEM 10.656250 1745203066.1077
MEM 10.656250 1745203066.1290
MEM 10.656250 1745203066.1495
MEM 10.656250 1745203066.1696
MEM 10.656250 1745203066.1897
MEM 10.656250 1745203066.2099
MEM 10.656250 1745203066.2306
MEM 10.656250 1745203066.2510
MEM 10.656250 1745203066.2711
MEM 10.656250 1745203066.2932
MEM 10.656250 1745203066.3143
MEM 10.656250 1745203066.3354
MEM 10.656250 1745203066.3560
MEM 10.656250 1745203066.3766
MEM 10.656250 1745203066.3981
MEM 10.656250 1745203066.4189
MEM 10.656250 1745203066.4398
MEM 10.656250 1745203066.4604
MEM 10.656250 1745203066.4815
MEM 10.656250 1745203066.5027
MEM 10.656250 1745203066.5244
MEM 10.656250 1745203066.5452
MEM 10.656250 1745203066.5661
MEM 10.656250 1745203066.5870
MEM 10.656250 1745203066.6078
MEM 10.656250 1745203066.6288
MEM 10.656250 1745203066.6501
MEM 10.656250 1745203066.6719
MEM 10.656250 1745203066.6934
MEM 10.656250 1745203066.7146
MEM 10.656250 1745203066.7363
MEM 10.656250 1745203066.7574
MEM 10.656250 1745203066.7786
MEM 10.656250 1745203066.7993
MEM 10.656250 1745203066.8198
MEM 10.656250 1745203066.8400
MEM 10.656250 1745203066.8610
MEM 10.656250 1745203066.8816
MEM 10.656250 1745203066.9020
MEM 10.656250 1745203066.9229
MEM 10.656250 1745203066.9450
MEM 10.656250 1745203066.9653
MEM 10.656250 1745203066.9864
MEM 10.656250 1745203067.0067
MEM 10.656250 1745203067.0268
MEM 10.656250 1745203067.0474
MEM 10.656250 1745203067.0684
MEM 10.656250 1745203067.0891
MEM 10.656250 1745203067.1100
MEM 10.656250 1745203067.1306
MEM 10.656250 1745203067.1509
MEM 10.656250 1745203067.1717
MEM 10.656250 1745203067.1928
MEM 10.656250 1745203067.2135
MEM 10.656250 1745203067.2345
MEM 10.656250 1745203067.2559
MEM 10.656250 1745203067.2760
MEM 10.656250 1745203067.2971
MEM 10.656250 1745203067.3184
MEM 10.656250 1745203067.3398
MEM 10.656250 1745203067.3611
MEM 10.656250 1745203067.3822
MEM 10.656250 1745203067.4040
MEM 10.656250 1745203067.4247
MEM 10.656250 1745203067.4463
MEM 10.656250 1745203067.4682
MEM 10.656250 1745203067.4895
MEM 10.656250 1745203067.5106
MEM 10.656250 1745203067.5322
MEM 10.656250 1745203067.5532
MEM 10.656250 1745203067.5747
MEM 10.656250 1745203067.5955
MEM 10.656250 1745203067.6160
MEM 10.656250 1745203067.6366
MEM 10.656250 1745203067.6571
MEM 10.656250 1745203067.6773
MEM 10.656250 1745203067.6983
MEM 10.656250 1745203067.7196
MEM 10.656250 1745203067.7399
MEM 10.656250 1745203067.7605
MEM 10.656250 1745203067.7815
MEM 10.656250 1745203067.8015
MEM 10.656250 1745203067.8218
MEM 10.656250 1745203067.8423
MEM 10.656250 1745203067.8642
MEM 10.656250 1745203067.8846
MEM 10.656250 1745203067.9051
MEM 10.656250 1745203067.9257
MEM 10.656250 1745203067.9469
MEM 10.656250 1745203067.9684
MEM 10.656250 1745203067.9895
MEM 10.656250 1745203068.0103
MEM 10.656250 1745203068.0313
MEM 10.656250 1745203068.0503
MEM 10.656250 1745203068.0693
MEM 10.656250 1745203068.0872
MEM 10.656250 1745203068.1045
MEM 10.656250 1745203068.1218
MEM 10.656250 1745203068.1389
