CMDLINE python3 python_programs/Gemini/stamping_the_grid.py
MEM 0.187500 1745203060.0438
MEM 5.453125 1745203060.0549
MEM 8.484375 1745203060.0637
MEM 14.125000 1745203060.0783
MEM 14.125000 1745203060.0891
MEM 14.125000 1745203060.0993
MEM 14.125000 1745203060.1105
MEM 14.125000 1745203060.1237
MEM 14.125000 1745203060.1379
MEM 14.125000 1745203060.1538
MEM 14.125000 1745203060.1699
MEM 14.125000 1745203060.1842
MEM 14.125000 1745203060.2080
MEM 14.125000 1745203060.2920
MEM 14.125000 1745203060.3408
MEM 14.125000 1745203060.3686
MEM 14.125000 1745203060.3982
MEM 14.125000 1745203060.4276
MEM 14.125000 1745203060.4573
MEM 14.125000 1745203060.4851
MEM 14.125000 1745203060.5129
MEM 14.125000 1745203060.5407
MEM 14.125000 1745203060.5689
MEM 14.125000 1745203060.6082
MEM 14.125000 1745203060.6364
MEM 14.125000 1745203060.6624
MEM 14.125000 1745203060.6986
MEM 14.125000 1745203060.7341
MEM 14.125000 1745203060.7639
MEM 14.125000 1745203060.7950
MEM 14.125000 1745203060.8225
MEM 14.125000 1745203060.8650
MEM 14.125000 1745203060.9072
MEM 14.125000 1745203060.9405
MEM 14.125000 1745203060.9794
MEM 14.125000 1745203061.0076
MEM 14.125000 1745203061.0347
MEM 14.125000 1745203061.0827
MEM 14.125000 1745203061.1252
MEM 14.125000 1745203061.1527
MEM 14.125000 1745203061.1783
MEM 14.125000 1745203061.2063
MEM 14.125000 1745203061.2662
MEM 14.125000 1745203061.3081
MEM 14.125000 1745203061.3406
MEM 14.125000 1745203061.3749
MEM 14.125000 1745203061.4028
MEM 14.125000 1745203061.4361
MEM 14.125000 1745203061.4732
MEM 14.125000 1745203061.5183
MEM 14.125000 1745203061.5516
MEM 14.125000 1745203061.5862
MEM 14.125000 1745203061.6133
MEM 14.125000 1745203061.6396
MEM 14.125000 1745203061.6664
MEM 14.125000 1745203061.6929
MEM 14.125000 1745203061.7267
MEM 14.125000 1745203061.7777
MEM 14.125000 1745203061.8081
MEM 14.125000 1745203061.8329
MEM 14.125000 1745203061.8564
MEM 14.125000 1745203061.8824
MEM 14.125000 1745203061.9045
MEM 14.125000 1745203061.9198
MEM 14.125000 1745203061.9416
MEM 14.125000 1745203061.9621
MEM 14.125000 1745203061.9865
MEM 14.125000 1745203062.0120
MEM 14.125000 1745203062.0387
MEM 14.125000 1745203062.0778
MEM 14.125000 1745203062.1054
MEM 14.125000 1745203062.1345
MEM 14.125000 1745203062.1631
MEM 14.125000 1745203062.1943
MEM 14.125000 1745203062.2280
MEM 14.125000 1745203062.2549
MEM 14.125000 1745203062.2837
MEM 14.125000 1745203062.3105
MEM 14.125000 1745203062.3382
MEM 14.125000 1745203062.3739
MEM 14.125000 1745203062.4136
MEM 14.125000 1745203062.4402
MEM 14.125000 1745203062.4673
MEM 14.125000 1745203062.4877
MEM 14.125000 1745203062.5126
MEM 14.125000 1745203062.5429
MEM 14.125000 1745203062.5710
MEM 14.125000 1745203062.6030
MEM 14.125000 1745203062.6316
MEM 14.125000 1745203062.6584
MEM 14.125000 1745203062.6889
MEM 14.125000 1745203062.7171
MEM 14.125000 1745203062.7459
MEM 14.125000 1745203062.7710
MEM 14.125000 1745203062.7979
MEM 14.125000 1745203062.8319
MEM 14.125000 1745203062.8617
MEM 14.125000 1745203062.8928
MEM 14.125000 1745203062.9209
MEM 14.125000 1745203062.9490
MEM 14.125000 1745203062.9817
MEM 14.125000 1745203063.0091
MEM 14.125000 1745203063.0384
MEM 14.125000 1745203063.0778
MEM 14.125000 1745203063.1043
MEM 14.125000 1745203063.1379
MEM 14.125000 1745203063.1691
MEM 14.125000 1745203063.1987
MEM 14.125000 1745203063.2323
