CMDLINE python3 python_programs/Gemini/super_washing_machines.py
MEM 0.203125 1745203060.2295
MEM 10.593750 1745203060.2581
MEM 10.593750 1745203060.2828
MEM 10.593750 1745203060.3130
MEM 10.593750 1745203060.3510
MEM 10.593750 1745203060.3834
MEM 10.593750 1745203060.4133
MEM 10.593750 1745203060.4454
MEM 10.593750 1745203060.4851
MEM 10.593750 1745203060.5144
MEM 10.593750 1745203060.5456
MEM 10.593750 1745203060.5747
MEM 10.593750 1745203060.6031
MEM 10.593750 1745203060.6617
MEM 10.593750 1745203060.7118
MEM 10.593750 1745203060.7399
MEM 10.593750 1745203060.7680
MEM 10.593750 1745203060.7959
MEM 10.593750 1745203060.8230
MEM 10.593750 1745203060.8698
MEM 10.593750 1745203060.9194
MEM 10.593750 1745203060.9622
MEM 10.593750 1745203060.9940
MEM 10.593750 1745203061.0324
MEM 10.593750 1745203061.0607
MEM 10.593750 1745203061.0928
MEM 10.593750 1745203061.1223
MEM 10.593750 1745203061.1685
MEM 10.593750 1745203061.1986
MEM 10.593750 1745203061.2323
MEM 10.593750 1745203061.2664
MEM 10.593750 1745203061.3307
MEM 10.593750 1745203061.3652
MEM 10.593750 1745203061.3968
MEM 10.593750 1745203061.4280
MEM 10.593750 1745203061.4633
MEM 10.593750 1745203061.4980
MEM 10.593750 1745203061.5294
MEM 10.593750 1745203061.5766
MEM 10.593750 1745203061.6077
MEM 10.593750 1745203061.6348
MEM 10.593750 1745203061.6599
MEM 10.593750 1745203061.7165
MEM 10.593750 1745203061.7434
MEM 10.593750 1745203061.7731
MEM 10.593750 1745203061.8011
MEM 10.593750 1745203061.8252
MEM 10.593750 1745203061.8661
MEM 10.593750 1745203061.9054
MEM 10.593750 1745203061.9506
MEM 10.593750 1745203061.9765
MEM 10.593750 1745203062.0112
MEM 10.593750 1745203062.0490
MEM 10.593750 1745203062.0771
MEM 10.593750 1745203062.1045
MEM 10.593750 1745203062.1314
MEM 10.593750 1745203062.1635
MEM 10.593750 1745203062.1906
MEM 10.593750 1745203062.2165
MEM 10.593750 1745203062.2419
MEM 10.593750 1745203062.2725
MEM 10.593750 1745203062.3047
MEM 10.593750 1745203062.3304
MEM 10.593750 1745203062.3616
MEM 10.593750 1745203062.3837
MEM 10.593750 1745203062.4107
MEM 10.593750 1745203062.4401
MEM 10.593750 1745203062.4681
MEM 10.593750 1745203062.5024
MEM 10.593750 1745203062.5259
MEM 10.593750 1745203062.5488
MEM 10.593750 1745203062.5778
MEM 10.593750 1745203062.6106
MEM 10.593750 1745203062.6406
MEM 10.593750 1745203062.6674
MEM 10.593750 1745203062.6964
MEM 10.593750 1745203062.7234
MEM 10.593750 1745203062.7526
MEM 10.593750 1745203062.7796
MEM 10.593750 1745203062.8095
MEM 10.593750 1745203062.8388
MEM 10.593750 1745203062.8669
MEM 10.593750 1745203062.8962
MEM 10.593750 1745203062.9222
MEM 10.593750 1745203062.9518
MEM 10.593750 1745203062.9818
MEM 10.593750 1745203063.0086
MEM 10.593750 1745203063.0359
MEM 10.593750 1745203063.0621
MEM 10.593750 1745203063.0896
MEM 10.593750 1745203063.1282
MEM 10.593750 1745203063.1715
MEM 10.593750 1745203063.2014
MEM 10.593750 1745203063.2298
MEM 10.593750 1745203063.2643
MEM 10.593750 1745203063.2832
MEM 10.593750 1745203063.3050
MEM 10.593750 1745203063.3159
