CMDLINE python3 python_programs/Gemini/the_number_of_weak_characters_in_the_game.py
MEM 0.218750 1745203065.0514
MEM 27.703125 1745203065.0738
MEM 27.703125 1745203065.0958
MEM 27.703125 1745203065.1177
MEM 27.703125 1745203065.1387
MEM 27.703125 1745203065.1591
MEM 28.531250 1745203065.1800
MEM 29.296875 1745203065.2014
MEM 29.296875 1745203065.2232
MEM 29.296875 1745203065.2443
MEM 29.296875 1745203065.2655
MEM 29.296875 1745203065.2869
MEM 29.296875 1745203065.3071
MEM 29.296875 1745203065.3278
MEM 29.296875 1745203065.3485
MEM 29.296875 1745203065.3694
MEM 29.296875 1745203065.3903
MEM 29.296875 1745203065.4113
MEM 29.296875 1745203065.4320
MEM 29.296875 1745203065.4528
MEM 29.296875 1745203065.4739
MEM 29.296875 1745203065.4959
MEM 29.296875 1745203065.5174
MEM 29.296875 1745203065.5382
MEM 29.296875 1745203065.5603
MEM 29.296875 1745203065.5816
MEM 29.296875 1745203065.6031
MEM 29.296875 1745203065.6225
MEM 29.296875 1745203065.6437
MEM 29.296875 1745203065.6650
MEM 29.296875 1745203065.6851
MEM 29.296875 1745203065.7056
MEM 29.296875 1745203065.7258
MEM 29.296875 1745203065.7482
MEM 29.296875 1745203065.7691
MEM 29.296875 1745203065.7899
MEM 29.296875 1745203065.8104
MEM 29.296875 1745203065.8313
MEM 29.296875 1745203065.8521
MEM 29.296875 1745203065.8736
MEM 29.296875 1745203065.8941
MEM 29.296875 1745203065.9147
MEM 29.296875 1745203065.9358
MEM 29.296875 1745203065.9558
MEM 29.296875 1745203065.9763
MEM 29.296875 1745203065.9972
MEM 29.296875 1745203066.0181
MEM 29.296875 1745203066.0389
MEM 29.296875 1745203066.0595
MEM 29.296875 1745203066.0800
MEM 29.296875 1745203066.1009
MEM 29.296875 1745203066.1217
MEM 29.296875 1745203066.1426
MEM 29.296875 1745203066.1635
MEM 29.296875 1745203066.1849
MEM 29.296875 1745203066.2058
MEM 29.296875 1745203066.2270
MEM 29.296875 1745203066.2475
MEM 29.296875 1745203066.2683
MEM 29.296875 1745203066.2911
MEM 29.296875 1745203066.3118
MEM 29.296875 1745203066.3333
MEM 29.296875 1745203066.3541
MEM 29.296875 1745203066.3752
MEM 29.296875 1745203066.3968
MEM 29.296875 1745203066.4175
MEM 29.296875 1745203066.4384
MEM 29.296875 1745203066.4599
MEM 29.296875 1745203066.4808
MEM 29.296875 1745203066.5023
MEM 29.296875 1745203066.5233
MEM 29.296875 1745203066.5445
MEM 29.296875 1745203066.5651
MEM 29.296875 1745203066.5859
MEM 29.296875 1745203066.6069
MEM 29.296875 1745203066.6282
MEM 29.296875 1745203066.6491
MEM 29.296875 1745203066.6711
MEM 29.296875 1745203066.6927
MEM 29.296875 1745203066.7150
MEM 29.296875 1745203066.7369
MEM 29.296875 1745203066.7584
MEM 29.296875 1745203066.7796
MEM 29.296875 1745203066.8015
MEM 29.296875 1745203066.8228
MEM 29.296875 1745203066.8447
MEM 29.296875 1745203066.8664
MEM 29.296875 1745203066.8874
MEM 29.296875 1745203066.9086
MEM 29.296875 1745203066.9308
MEM 29.296875 1745203066.9524
MEM 29.296875 1745203066.9742
MEM 29.296875 1745203066.9955
MEM 29.296875 1745203067.0173
MEM 29.296875 1745203067.0392
MEM 29.296875 1745203067.0604
MEM 29.296875 1745203067.0812
MEM 29.296875 1745203067.1025
MEM 29.296875 1745203067.1231
MEM 29.296875 1745203067.1446
MEM 29.296875 1745203067.1660
MEM 29.296875 1745203067.1877
MEM 29.296875 1745203067.2091
MEM 29.296875 1745203067.2305
MEM 29.296875 1745203067.2514
MEM 29.296875 1745203067.2728
MEM 29.296875 1745203067.2953
MEM 29.296875 1745203067.3158
MEM 29.296875 1745203067.3373
MEM 29.296875 1745203067.3586
MEM 29.296875 1745203067.3791
MEM 29.296875 1745203067.4000
MEM 29.296875 1745203067.4258
MEM 29.296875 1745203067.4470
MEM 29.296875 1745203067.4684
MEM 29.296875 1745203067.4893
MEM 29.296875 1745203067.5101
MEM 29.296875 1745203067.5310
MEM 29.296875 1745203067.5522
MEM 29.296875 1745203067.5730
MEM 29.296875 1745203067.5937
MEM 29.296875 1745203067.6143
MEM 29.296875 1745203067.6351
MEM 29.296875 1745203067.6560
MEM 29.296875 1745203067.6768
MEM 29.296875 1745203067.6972
MEM 29.296875 1745203067.7211
MEM 29.296875 1745203067.7424
MEM 29.296875 1745203067.7636
MEM 29.296875 1745203067.7846
MEM 29.296875 1745203067.8054
MEM 29.296875 1745203067.8261
MEM 29.296875 1745203067.8476
MEM 29.296875 1745203067.8687
MEM 29.296875 1745203067.8894
MEM 29.296875 1745203067.9104
MEM 29.296875 1745203067.9313
MEM 29.296875 1745203067.9523
MEM 29.296875 1745203067.9734
MEM 29.296875 1745203067.9950
MEM 29.296875 1745203068.0161
MEM 29.296875 1745203068.0372
MEM 29.296875 1745203068.0555
MEM 29.296875 1745203068.0740
MEM 29.296875 1745203068.0909
MEM 29.296875 1745203068.1081
MEM 29.296875 1745203068.1251
MEM 29.296875 1745203068.1415
MEM 29.296875 1745203068.1563
MEM 29.296875 1745203068.1664
MEM 29.296875 1745203068.1745
MEM 29.296875 1745203068.1822
MEM 29.296875 1745203068.1889
MEM 29.296875 1745203068.1967
MEM 29.296875 1745203068.2023
