CMDLINE python3 python_programs/Gemini/wiggle_subsequence.py
MEM 0.218750 1745203060.1093
MEM 6.781250 1745203060.1238
MEM 10.156250 1745203060.1383
MEM 10.156250 1745203060.1514
MEM 10.156250 1745203060.1683
MEM 10.156250 1745203060.1803
MEM 10.156250 1745203060.2025
MEM 10.156250 1745203060.3247
MEM 11.796875 1745203060.3638
MEM 11.796875 1745203060.3939
MEM 11.796875 1745203060.4380
MEM 11.796875 1745203060.4682
MEM 11.796875 1745203060.5362
MEM 11.796875 1745203060.5811
MEM 11.796875 1745203060.6167
MEM 11.796875 1745203060.6606
MEM 11.796875 1745203060.6891
MEM 11.796875 1745203060.7304
MEM 11.796875 1745203060.7585
MEM 11.796875 1745203060.7903
MEM 11.796875 1745203060.8305
MEM 11.796875 1745203060.8707
MEM 11.796875 1745203060.8981
MEM 11.796875 1745203060.9271
MEM 11.796875 1745203060.9550
MEM 11.796875 1745203061.0079
MEM 11.796875 1745203061.0399
MEM 11.796875 1745203061.0990
MEM 11.796875 1745203061.1272
MEM 11.796875 1745203061.1661
MEM 11.796875 1745203061.2263
MEM 11.796875 1745203061.2550
MEM 11.796875 1745203061.2809
MEM 11.796875 1745203061.3071
MEM 11.796875 1745203061.3362
MEM 11.796875 1745203061.3886
MEM 11.796875 1745203061.4653
MEM 11.796875 1745203061.5016
MEM 11.796875 1745203061.5426
MEM 11.796875 1745203061.5780
MEM 11.796875 1745203061.6344
MEM 11.796875 1745203061.6883
MEM 11.796875 1745203061.7206
MEM 11.796875 1745203061.7436
MEM 11.796875 1745203061.7685
MEM 11.796875 1745203061.8041
MEM 11.796875 1745203061.8382
MEM 11.796875 1745203061.8620
MEM 11.796875 1745203061.8873
MEM 11.796875 1745203061.9089
MEM 11.796875 1745203061.9328
MEM 11.796875 1745203061.9602
MEM 11.796875 1745203061.9946
MEM 11.796875 1745203062.0211
MEM 11.796875 1745203062.0483
MEM 11.796875 1745203062.0767
MEM 11.796875 1745203062.1123
MEM 11.796875 1745203062.1389
MEM 11.796875 1745203062.1664
MEM 11.796875 1745203062.1937
MEM 11.796875 1745203062.2210
MEM 11.796875 1745203062.2523
MEM 11.796875 1745203062.2818
MEM 11.796875 1745203062.3088
MEM 11.796875 1745203062.3390
MEM 11.796875 1745203062.3603
MEM 11.796875 1745203062.3799
MEM 11.796875 1745203062.4038
MEM 11.796875 1745203062.4369
MEM 11.796875 1745203062.4554
MEM 11.796875 1745203062.4865
MEM 11.796875 1745203062.5200
MEM 11.796875 1745203062.5587
MEM 11.796875 1745203062.5876
MEM 11.796875 1745203062.6144
MEM 11.796875 1745203062.6419
MEM 11.796875 1745203062.6725
MEM 11.796875 1745203062.7017
MEM 11.796875 1745203062.7297
MEM 11.796875 1745203062.7594
MEM 11.796875 1745203062.7857
MEM 11.796875 1745203062.8136
MEM 11.796875 1745203062.8447
MEM 11.796875 1745203062.8714
MEM 11.796875 1745203062.9010
MEM 11.796875 1745203062.9282
MEM 11.796875 1745203062.9574
MEM 11.796875 1745203062.9839
MEM 11.796875 1745203063.0156
MEM 11.796875 1745203063.0520
MEM 11.796875 1745203063.0798
MEM 11.796875 1745203063.1164
MEM 11.796875 1745203063.1460
MEM 11.796875 1745203063.1788
MEM 11.796875 1745203063.2085
MEM 11.796875 1745203063.2338
MEM 11.796875 1745203063.2549
MEM 11.796875 1745203063.2757
