CMDLINE python3 python_programs/Gemini/word_abbreviation.py
MEM 5.375000 1745203065.0013
MEM 10.203125 1745203065.0195
MEM 12.078125 1745203065.0402
MEM 12.078125 1745203065.0639
MEM 12.078125 1745203065.0858
MEM 12.078125 1745203065.1074
MEM 12.078125 1745203065.1289
MEM 12.078125 1745203065.1491
MEM 12.078125 1745203065.1698
MEM 12.078125 1745203065.1912
MEM 12.078125 1745203065.2124
MEM 12.078125 1745203065.2332
MEM 12.078125 1745203065.2543
MEM 12.078125 1745203065.2750
MEM 12.078125 1745203065.2961
MEM 12.078125 1745203065.3178
MEM 12.078125 1745203065.3398
MEM 12.078125 1745203065.3606
MEM 12.078125 1745203065.3815
MEM 12.078125 1745203065.4031
MEM 12.078125 1745203065.4244
MEM 12.078125 1745203065.4452
MEM 12.078125 1745203065.4670
MEM 12.078125 1745203065.4877
MEM 12.078125 1745203065.5088
MEM 12.078125 1745203065.5299
MEM 12.078125 1745203065.5505
MEM 12.078125 1745203065.5713
MEM 12.078125 1745203065.5918
MEM 12.078125 1745203065.6141
MEM 12.078125 1745203065.6357
MEM 12.078125 1745203065.6567
MEM 12.078125 1745203065.6781
MEM 12.078125 1745203065.7006
MEM 12.078125 1745203065.7227
MEM 12.078125 1745203065.7442
MEM 12.078125 1745203065.7651
MEM 12.078125 1745203065.7856
MEM 12.078125 1745203065.8069
MEM 12.078125 1745203065.8278
MEM 12.078125 1745203065.8485
MEM 12.078125 1745203065.8692
MEM 12.078125 1745203065.8902
MEM 12.078125 1745203065.9112
MEM 12.078125 1745203065.9328
MEM 12.078125 1745203065.9540
MEM 12.078125 1745203065.9748
MEM 12.078125 1745203065.9960
MEM 12.078125 1745203066.0167
MEM 12.078125 1745203066.0375
MEM 12.078125 1745203066.0582
MEM 12.078125 1745203066.0795
MEM 12.078125 1745203066.0999
MEM 12.078125 1745203066.1222
MEM 12.078125 1745203066.1430
MEM 12.078125 1745203066.1636
MEM 12.078125 1745203066.1842
MEM 12.078125 1745203066.2049
MEM 12.078125 1745203066.2255
MEM 12.078125 1745203066.2462
MEM 12.078125 1745203066.2668
MEM 12.078125 1745203066.2897
MEM 12.078125 1745203066.3099
MEM 12.078125 1745203066.3310
MEM 12.078125 1745203066.3533
MEM 12.078125 1745203066.3743
MEM 12.078125 1745203066.3954
MEM 12.078125 1745203066.4156
MEM 12.078125 1745203066.4372
MEM 12.078125 1745203066.4587
MEM 12.078125 1745203066.4798
MEM 12.078125 1745203066.5005
MEM 12.078125 1745203066.5212
MEM 12.078125 1745203066.5419
MEM 12.078125 1745203066.5631
MEM 12.078125 1745203066.5841
MEM 12.078125 1745203066.6058
MEM 12.078125 1745203066.6267
MEM 12.078125 1745203066.6470
MEM 12.078125 1745203066.6687
MEM 12.078125 1745203066.6894
MEM 12.078125 1745203066.7093
MEM 12.078125 1745203066.7299
MEM 12.078125 1745203066.7506
MEM 12.078125 1745203066.7710
MEM 12.078125 1745203066.7917
MEM 12.078125 1745203066.8120
MEM 12.078125 1745203066.8329
MEM 12.078125 1745203066.8533
MEM 12.078125 1745203066.8738
MEM 12.078125 1745203066.8948
MEM 12.078125 1745203066.9154
MEM 12.078125 1745203066.9370
MEM 12.078125 1745203066.9572
MEM 12.078125 1745203066.9772
MEM 12.078125 1745203066.9973
MEM 12.078125 1745203067.0185
MEM 12.078125 1745203067.0402
MEM 12.078125 1745203067.0616
MEM 12.078125 1745203067.0829
MEM 12.078125 1745203067.1036
MEM 12.078125 1745203067.1245
MEM 12.078125 1745203067.1452
MEM 12.078125 1745203067.1659
MEM 12.078125 1745203067.1870
MEM 12.078125 1745203067.2082
MEM 12.078125 1745203067.2295
MEM 12.078125 1745203067.2505
MEM 12.078125 1745203067.2721
MEM 12.078125 1745203067.2925
MEM 12.078125 1745203067.3138
MEM 12.078125 1745203067.3345
MEM 12.078125 1745203067.3553
MEM 12.078125 1745203067.3759
MEM 12.078125 1745203067.3964
MEM 12.078125 1745203067.4150
MEM 12.078125 1745203067.4354
MEM 12.078125 1745203067.4563
MEM 12.078125 1745203067.4771
MEM 12.078125 1745203067.4980
MEM 12.078125 1745203067.5189
MEM 12.078125 1745203067.5397
MEM 12.078125 1745203067.5617
MEM 12.078125 1745203067.5829
MEM 12.078125 1745203067.6043
MEM 12.078125 1745203067.6258
MEM 12.078125 1745203067.6471
MEM 12.078125 1745203067.6691
MEM 12.078125 1745203067.6904
MEM 12.078125 1745203067.7111
MEM 12.078125 1745203067.7332
MEM 12.078125 1745203067.7548
MEM 12.078125 1745203067.7761
MEM 12.078125 1745203067.7974
MEM 12.078125 1745203067.8192
MEM 12.078125 1745203067.8412
MEM 12.078125 1745203067.8624
MEM 12.078125 1745203067.8830
MEM 12.078125 1745203067.9039
MEM 12.078125 1745203067.9253
MEM 12.078125 1745203067.9461
MEM 12.078125 1745203067.9674
MEM 12.078125 1745203067.9891
MEM 12.078125 1745203068.0097
MEM 12.078125 1745203068.0308
MEM 12.078125 1745203068.0497
MEM 12.078125 1745203068.0686
MEM 12.078125 1745203068.0871
MEM 12.078125 1745203068.1049
MEM 12.078125 1745203068.1221
MEM 12.078125 1745203068.1396
MEM 12.078125 1745203068.1556
